2025-11-10 19:00:07.039,-0.628174,0.816162,-0.177246,22.209166,2.624511,-8.636475
2025-11-10 19:00:07.050,-0.671387,0.794434,-0.206299,18.310547,12.191772,-8.056641
2025-11-10 19:00:07.059,-0.709961,0.781250,-0.217773,16.921997,16.830444,-9.902954
2025-11-10 19:00:07.069,-0.741455,0.789307,-0.229248,17.044067,13.923644,-10.414123
2025-11-10 19:00:07.079,-0.761230,0.799805,-0.235840,17.364502,5.416870,-7.812500
2025-11-10 19:00:07.090,-0.754639,0.806152,-0.232666,17.005920,-5.973815,-4.653931
2025-11-10 19:00:07.099,-0.744385,0.810547,-0.230225,15.640258,-15.640258,-2.647400
2025-11-10 19:00:07.109,-0.741699,0.806885,-0.234863,13.046264,-20.591734,-1.258850
2025-11-10 19:00:07.119,-0.727295,0.792725,-0.243164,9.735107,-20.957945,0.381470
2025-11-10 19:00:07.130,-0.714844,0.781006,-0.239746,7.102966,-17.898560,2.700805
2025-11-10 19:00:07.139,-0.717529,0.768799,-0.237305,5.760192,-13.427733,4.859924
2025-11-10 19:00:07.150,-0.725830,0.768311,-0.227051,5.569458,-9.704590,6.011962
2025-11-10 19:00:07.159,-0.729004,0.770752,-0.208252,5.004883,-7.278442,6.721496
2025-11-10 19:00:07.170,-0.726318,0.770752,-0.201904,3.883362,-7.484436,7.438659
2025-11-10 19:00:07.180,-0.721680,0.770508,-0.193848,2.807617,-9.613037,8.262634
2025-11-10 19:00:07.190,-0.710938,0.764648,-0.185303,1.495361,-12.031554,8.697510
2025-11-10 19:00:07.199,-0.695801,0.755859,-0.173096,0.137329,-14.144897,8.338928
2025-11-10 19:00:07.210,-0.679932,0.750488,-0.168213,-0.556946,-15.983581,7.591247
2025-11-10 19:00:07.220,-0.665527,0.747314,-0.178223,-1.319885,-16.044617,7.621765
2025-11-10 19:00:07.230,-0.656250,0.745361,-0.184326,-2.105713,-13.442992,8.522034
2025-11-10 19:00:07.239,-0.662109,0.740479,-0.172363,-2.708435,-8.026123,8.514404
2025-11-10 19:00:07.250,-0.678223,0.741699,-0.156738,-2.380371,-1.350403,6.408691
2025-11-10 19:00:07.260,-0.691406,0.747070,-0.146729,-1.823425,3.784179,3.662109
2025-11-10 19:00:07.269,-0.692627,0.750488,-0.134521,-2.235413,6.713867,2.593994
2025-11-10 19:00:07.279,-0.693848,0.744385,-0.135010,-3.181457,7.713317,2.593994
2025-11-10 19:00:07.289,-0.685791,0.727539,-0.139648,-4.257202,8.728027,1.976013
2025-11-10 19:00:07.300,-0.682861,0.713867,-0.145020,-4.409790,10.086059,0.305176
2025-11-10 19:00:07.309,-0.684326,0.707764,-0.124268,-3.639221,10.658263,-1.556396
2025-11-10 19:00:07.319,-0.702637,0.700684,-0.099365,-2.899170,9.117126,-2.914428
2025-11-10 19:00:07.329,-0.720459,0.694092,-0.094238,-2.891540,6.240844,-3.463745
2025-11-10 19:00:07.340,-0.718018,0.690674,-0.101807,-2.075195,3.005981,-3.105163
2025-11-10 19:00:07.350,-0.697510,0.699951,-0.130615,0.671387,-0.549316,-2.067566
2025-11-10 19:00:07.360,-0.696777,0.720215,-0.146484,3.723144,-4.585266,-0.442505
2025-11-10 19:00:07.369,-0.710449,0.730225,-0.131592,5.180358,-6.256103,0.671387
2025-11-10 19:00:07.380,-0.716797,0.723633,-0.129150,4.699707,-6.187438,-0.091553
2025-11-10 19:00:07.390,-0.716064,0.713623,-0.151367,5.020141,-6.294250,-0.564575
2025-11-10 19:00:07.400,-0.724365,0.718994,-0.156494,7.369995,-7.461547,0.999451
2025-11-10 19:00:07.409,-0.729248,0.738525,-0.135254,9.544373,-8.033752,2.769470
2025-11-10 19:00:07.420,-0.722656,0.753174,-0.127930,10.139464,-7.492065,3.005981
2025-11-10 19:00:07.430,-0.718018,0.767090,-0.145264,9.742737,-6.652832,3.097534
2025-11-10 19:00:07.440,-0.719238,0.771240,-0.174805,9.025574,-5.653381,4.341125
2025-11-10 19:00:07.449,-0.718506,0.768799,-0.208496,8.300781,-3.990173,5.439758
2025-11-10 19:00:07.459,-0.703613,0.765625,-0.232422,8.239746,-1.930237,6.111145
2025-11-10 19:00:07.469,-0.690186,0.766846,-0.246338,8.972168,-0.007629,6.660461
2025-11-10 19:00:07.479,-0.682617,0.772949,-0.246826,9.368896,1.525879,7.110595
2025-11-10 19:00:07.488,-0.678467,0.784424,-0.244873,9.086609,1.564026,7.102966
2025-11-10 19:00:07.498,-0.673096,0.795410,-0.244629,7.789611,0.648498,7.469177
