0.0000,-0.095459,0.845947,-0.229004,8.308411,110.366814,-20.149229
0.0100,-0.045166,0.834717,-0.160400,10.070800,119.575493,-11.276244
0.0200,-0.005371,0.808105,-0.139893,13.633727,119.132988,0.938415
0.0300,-0.044189,0.776367,-0.167969,22.201536,112.846367,10.391234
0.0400,0.005615,0.785156,-0.172852,29.609678,112.609856,13.420104
0.0500,-0.030029,0.791260,-0.181152,29.510496,119.354240,33.973694
0.0600,-0.101563,0.747070,-0.225586,34.835815,135.696411,56.343075
0.0700,0.020264,0.729248,-0.326172,41.473385,162.094101,73.997498
0.0800,0.103516,0.808105,-0.358154,46.272274,187.759384,86.425774
0.0900,0.196289,0.747559,-0.395996,54.573055,229.370102,100.334160
0.1000,0.500000,0.847656,-0.444580,52.818295,247.276291,109.649651
0.1100,0.320557,0.856445,-0.405762,55.931087,249.015793,88.775627
0.1200,0.177246,0.973145,-0.127686,52.947994,249.992355,63.835140
0.1300,0.215820,0.960938,-0.177246,55.541988,249.992355,40.458675
0.1400,0.852295,0.941406,-0.097168,50.048824,249.969467,24.833677
0.1500,0.617676,1.049316,-0.166016,36.621094,249.992355,-20.011902
0.1600,0.568848,1.001953,-0.028320,41.885372,249.992355,-45.471188
0.1700,0.216064,0.946045,-0.013916,51.727291,249.992355,-74.035645
0.1800,0.751221,0.672852,-0.183105,68.122864,249.992355,-102.539055
0.1900,1.156738,0.758301,-0.055176,48.072811,249.992355,-45.219418
0.2000,1.005615,0.792725,-0.246826,51.696774,249.992355,40.451046
0.2100,0.959717,0.738037,-0.244385,63.713070,249.992355,37.315369
0.2200,0.559326,0.783447,-0.139648,46.470638,243.820175,-15.991210
0.2300,0.440186,0.679443,0.022705,64.384460,245.117172,-17.578125
0.2400,1.116455,0.193848,0.171143,55.549618,249.992355,-3.631592
0.2500,1.801270,0.212646,0.119385,-0.495911,248.222336,0.625610
0.2600,1.055420,0.808838,-0.120117,-38.948059,226.928696,-26.260374
0.2700,0.380859,1.562988,-0.255859,-3.295898,189.880356,-42.106625
0.2800,0.334961,1.417480,-0.360107,32.989502,146.728516,0.274658
0.2900,0.280518,0.769531,-0.024902,50.544735,138.130188,45.341488
0.3000,0.389648,0.529785,0.091553,41.740414,122.184746,57.891842
0.3100,0.399658,0.532227,0.092041,35.018921,120.101921,48.271175
0.3200,0.474365,0.604004,0.082275,31.082151,119.941704,30.654905
0.3300,0.708740,0.682861,0.111816,27.397154,116.821281,26.145933
0.3400,0.672852,0.701904,0.146729,23.002623,116.973869,38.948059
0.3500,0.476563,0.619629,0.219238,14.755248,120.437614,35.049438
0.3600,0.507324,0.790527,0.260498,5.310058,125.427238,6.690979
0.3700,0.524658,0.887207,0.294189,2.914428,127.960197,-13.175963
0.3800,0.492432,0.854980,0.343506,2.571106,125.946037,-27.122496
0.3900,0.604492,0.892578,0.372314,2.677917,120.765678,-41.351315
0.4000,0.661377,0.903809,0.372559,9.529114,99.487297,-38.848877
0.4100,0.606201,0.803223,0.351807,12.176513,73.448181,-26.145933
0.4200,0.629395,0.763672,0.339844,10.734557,61.401363,-19.462585
0.4300,0.652344,0.781250,0.310791,9.460449,47.950741,-16.304016
0.4400,0.703125,0.834229,0.241455,9.765625,27.717588,-14.198302
0.4500,0.692627,0.808594,0.187500,12.954711,9.628296,-10.803222
0.4600,0.601563,0.788330,0.128418,13.801574,-0.473022,-5.088806
