ax,ay,az,gx,gy,gz
-0.985352,0.073975,0.743164,-10.0708,12.496947,-34.790039
-0.883789,0.219482,0.751953,-19.546509,22.613523,-45.082088
-0.825928,0.180176,0.69751,-61.729427,14.953612,-38.543701
-0.855957,-0.027588,0.638184,-68.03894,4.127502,-17.333984
-0.865234,-0.043701,0.606934,-30.555723,-9.086609,-19.966125
-0.866943,0.05957,0.612061,-6.393432,-19.798279,-27.549742
-0.845703,0.129639,0.612061,-3.768921,-23.124693,-28.503416
-0.817627,0.144287,0.622559,-10.429381,-21.163939,-20.431517
-0.811035,0.132813,0.591553,-19.897461,-12.20703,-7.064819
-0.814209,0.08374,0.591553,-21.27075,14.373778,6.233215
-0.793701,0.095947,0.600342,-16.662598,39.772034,7.110595
-0.79541,0.142578,0.552246,-15.495299,51.49078,1.953125
-0.794922,0.130371,0.531738,-13.267516,52.345272,0.541687
-0.822021,0.09375,0.562988,-7.118225,54.13055,4.188538
-0.849121,0.087646,0.596924,-3.52478,56.617733,6.16455
-0.86792,0.077881,0.616943,-4.005432,58.769222,8.666992
-0.874023,0.056152,0.631592,-5.348205,59.974667,10.757445
-0.897461,0.052734,0.606201,-6.896972,56.488033,11.810302
-0.952393,0.072021,0.572021,-9.971619,60.44006,10.169982
-0.973633,0.080811,0.567383,-17.700195,82.237236,7.17163
-0.94043,0.046631,0.491943,-23.643492,104.980461,6.134033
-1.067871,0.338867,0.508545,-63.522335,163.215622,8.31604
-0.87207,-0.018311,0.48877,-117.362968,100.143425,30.433653
-0.883301,0.02124,0.483398,-62.965389,0.839233,8.537292
-1.062744,0.102539,0.473877,-32.699585,31.196592,-1.556396
-0.949463,0.076904,0.422852,-32.028198,46.226498,7.980346
-0.94873,0.042236,0.329346,-23.216246,58.242794,10.490417
-1.011719,0.060059,0.305908,-15.243529,70.632935,17.852783
-0.967041,0.062988,0.335205,-21.682737,82.015984,26.664732
-0.929688,0.02417,0.381836,-25.131224,86.540215,37.498474
-0.901123,0.026611,0.475342,-15.533446,77.24762,37.67395
-0.959717,0.104004,0.555908,-1.907349,76.858521,22.90344
-1.000732,0.105225,0.532471,-12.870788,99.57122,-11.901855
-1.036377,-0.044922,0.496094,-20.011902,128.547668,-24.330137
-1.195068,0.022705,0.447754,-35.018921,154.846191,-12.008666
-1.112061,0.028564,0.369629,-46.852108,153.839111,-10.57434
-1.024658,0.070801,0.420166,-53.009029,135.429382,-7.453918
-1.016602,0.015625,0.350098,-63.58337,122.26104,-5.844116
-1.04248,0.037598,0.387939,-60.836788,100.639336,1.541138
-1.085449,0.018555,0.374268,-59.42535,90.49987,2.708435
-1.035645,0.0354,0.402588,-50.453182,80.856316,6.278991
-1.015625,0.031494,0.360596,-45.333858,72.250366,12.748717
-1.04126,0.037842,0.350342,-40.512081,60.317989,18.821716
-1.036621,0.039795,0.317139,-42.106625,52.986141,20.805357
-1.0625,0.035889,0.277588,-46.936031,46.07391,23.933409
-1.07251,0.036865,0.289063,-50.643917,48.316952,25.886534
-1.103516,0.055176,0.309814,-58.845516,59.356686,26.420591
-1.1521,0.106201,0.312012,-67.626953,79.841614,22.430418
-1.181152,0.174316,0.280273,-79.696655,107.978813,4.966736
-0.998535,0.040283,0.178467,-84.487907,125.076286,-10.978698
-1.080322,0.056396,0.165283,-84.083549,123.76403,3.967285
-1.172607,0.101563,0.121094,-84.144585,150.817871,9.048462
-1.128174,0.086182,0.096924,-83.145134,176.696762,7.293701
-1.049561,0.085938,0.033447,-83.808891,189.514145,8.575439
-1.105957,0.033691,0.126709,-85.372917,206.405624,14.762877
-1.100098,0.077393,-0.005859,-99.418633,249.992355,30.136106
-1.145752,0.057617,0.280518,-105.705254,249.992355,32.539368
-1.119385,0.228271,-0.087891,-131.736755,249.229416,39.176941
-0.815674,0.313232,-0.218262,-139.49585,249.923691,12.435912
-0.860107,0.257324,-0.313232,-127.510063,249.992355,-27.153013
-0.981689,0.290527,-0.466797,-122.200005,249.984726,-42.999264
-1.016357,0.235596,-0.425293,-87.173454,216.629013,-78.361511
-0.744141,0.013428,-0.270508,-86.227409,163.49791,-115.531914
-0.836426,0.187744,-0.343262,-102.279655,118.713371,-85.235588
-0.71875,0.311768,-0.393066,-75.401306,42.709347,-75.157166
-0.658447,0.213379,-0.430176,-27.366636,-55.038448,-69.801331
-0.790039,-0.042725,-0.447998,0.1297,-152.84729,-56.770321
-0.977295,-0.134033,-0.400879,-7.225036,-198.577866,-39.306641
-1.140137,-0.074219,-0.442627,-26.992796,-178.604111,-30.128477
-1.095459,-0.039063,-0.539063,-38.452148,-149.261475,-18.959045
-0.962891,-0.041504,-0.50415,-38.780212,-155.62439,-4.058838
-0.902588,-0.020996,-0.349854,-32.142639,-188.003525,0.518799
-0.86792,0.01709,-0.216797,-19.554138,-224.899277,-2.471924
-0.908691,0.046875,-0.150635,1.060486,-249.992355,-1.800537
-1.057617,0.023438,-0.135254,23.368834,-249.992355,-0.694275
-1.269775,-0.030762,-0.19165,36.880493,-249.519333,-3.875732
-1.430664,-0.067383,-0.230713,43.205257,-245.620712,-5.508422
-1.436279,-0.090576,-0.21167,43.830868,-214.515671,-2.296448
-1.343262,-0.068604,-0.188232,39.43634,-171.55455,-1.205444
-1.200928,0.013184,-0.232178,41.580196,-138.961792,-6.156921
-1.068115,0.070557,-0.299316,56.694027,-122.329704,-13.282775
