ax,ay,az,gx,gy,gz
0.941162,-0.14502,-0.395996,-26.351927,-106.094353,18.867493
0.921875,-0.079346,-0.392334,-37.086487,-99.609367,10.002136
0.867188,-0.024658,-0.414063,-39.779663,-88.10424,-1.197815
0.883789,0.023926,-0.417236,-41.122433,-81.390373,-8.331299
0.957275,0.053955,-0.459229,-45.242306,-79.76532,-10.383605
1.014648,0.010986,-0.52417,-39.176941,-82.305901,-11.566161
1.059814,-0.079834,-0.445557,-23.445127,-87.440483,-15.472411
1.049072,-0.116211,-0.359863,-26.870726,-87.936394,-25.55084
1.01416,-0.072754,-0.260742,-38.330078,-86.761467,-43.510433
1.019287,0.054199,-0.200195,-47.737118,-81.68029,-61.836239
1.015625,0.262939,-0.177246,-53.894039,-68.885803,-69.206238
1.013184,0.452881,-0.064941,-47.409054,-64.865112,-66.314697
0.983398,0.541748,-0.008057,-30.067442,-72.250366,-63.789364
0.894775,0.552246,-0.020752,-13.824462,-71.487427,-70.007324
0.792725,0.54126,-0.010986,2.380371,-52.665707,-83.534233
0.71875,0.557861,-0.054199,24.063108,-24.253843,-94.291679
0.701172,0.594971,-0.132568,46.928402,-5.0354,-96.511833
0.676514,0.618164,-0.112793,65.162659,-6.591796,-91.201775
0.574219,0.652832,-0.154053,77.552795,-23.323057,-82.504265
0.456055,0.697754,-0.233154,88.806145,-39.802551,-76.446533
0.343262,0.718262,-0.225586,100.852959,-44.502254,-74.638367
0.303955,0.731201,-0.13916,112.121574,-40.512081,-70.808411
0.343262,0.758301,-0.208008,124.183647,-37.559509,-61.416622
0.394775,0.793213,-0.38501,142.021179,-42.823788,-50.621029
0.381836,0.784424,-0.498291,158.531189,-59.55505,-44.952389
0.312012,0.741943,-0.554932,162.765488,-83.847038,-46.043392
0.201904,0.684082,-0.614502,158.546448,-104.667656,-47.004696
0.077881,0.632568,-0.665283,156.410217,-110.16082,-41.343685
-0.025146,0.614746,-0.790039,158.042908,-93.299858,-31.799314
-0.063965,0.630371,-1.086914,171.653732,-66.299438,-23.66638
-0.000244,0.522461,-1.256592,195.526108,-52.444454,-15.968322
0.12915,0.29541,-1.289307,204.475388,-56.686398,-3.807068
0.139893,0.100586,-1.238525,184.272751,-70.526123,12.489318
-0.005859,0.073975,-1.192139,147.827148,-93.803398,30.746458
-0.203613,0.16626,-1.124756,121.00219,-117.485039,50.682064
-0.359375,0.276611,-1.113037,110.702507,-121.917717,64.048767
-0.414307,0.323975,-1.140137,106.681816,-96.000664,66.230774
-0.375732,0.283936,-1.107666,107.498161,-47.645565,65.643311
-0.283691,0.177734,-1.010986,112.266533,4.882813,64.933777
-0.024414,0.045654,-0.937012,108.917229,35.03418,48.942562
0.365479,-0.091309,-0.875,89.87426,24.337767,19.355774
0.657959,-0.165039,-0.952393,53.642269,-21.011351,1.243591
0.683838,-0.112061,-0.988281,12.443542,-71.456909,8.918762
0.557129,0.052002,-0.97876,-15.708922,-107.711784,24.04022
0.445068,0.192383,-0.991699,-21.621702,-128.860474,25.627134
0.375732,0.203613,-0.93335,-9.162903,-149.131775,21.40045
0.291992,0.127197,-0.956299,9.32312,-171.279892,27.931211
0.145996,0.005127,-1.123047,23.651121,-179.306015,50.338741
-0.068115,-0.153564,-1.269287,29.663084,-159.698486,65.422058
-0.150879,-0.260742,-1.223389,36.071777,-113.18969,48.660275
0.140625,-0.255127,-1.039795,46.157833,-66.703796,13.22174
0.379395,-0.187988,-0.900391,44.715878,-32.836914,-16.166687
0.42041,-0.084961,-0.841797,28.121946,-20.843504,-21.301268
0.503662,0.05127,-0.876465,15.808105,-27.847288,-12.756347
0.581787,0.110352,-0.922363,13.099669,-42.228695,-14.030456
0.507568,0.087402,-0.950439,7.949829,-65.803528,-24.284361
0.345703,0.103271,-0.978271,1.533508,-94.093315,-23.811338
0.265625,0.124023,-1.02124,-2.944946,-111.228935,-11.131286
0.186035,0.075439,-0.927246,-4.341125,-114.471428,1.678467
0.171875,0.024414,-0.858643,-3.936767,-116.394035,3.890991
0.128418,-0.058594,-0.905518,-6.973266,-102.676384,-13.97705
0.018555,-0.069824,-0.973389,-19.691467,-69.297791,-37.475586
-0.047607,-0.023682,-1.016846,-30.441282,-35.522461,-45.532223
-0.029785,0.003418,-1.082764,-31.936644,-8.087158,-43.991085
0.002197,0.001221,-1.182129,-32.341003,12.474059,-43.792721
0.027832,-0.042969,-1.248779,-35.003662,21.675108,-47.164913
0.121582,-0.092285,-1.296387,-31.555174,26.43585,-49.873348
0.21582,-0.133301,-1.260254,-20.072937,38.383484,-46.058651
0.174316,-0.104736,-1.144043,-15.747069,53.359982,-38.131714
0.086182,0.020508,-1.015137,-23.124693,62.248226,-36.827087
0.007568,0.144287,-0.910645,-28.694151,69.702148,-40.626522
-0.093994,0.202148,-0.831299,-26.138304,77.056885,-39.505005
-0.12915,0.181885,-0.760742,-15.724181,76.370239,-34.217834
-0.007324,0.103271,-0.733887,-3.77655,69.122314,-33.424377
0.169922,0.027832,-0.763428,0.236511,67.077637,-42.91534
0.251953,-0.002686,-0.814941,-6.057739,67.550659,-54.977413
0.239014,0.025879,-0.87207,-16.876221,58.731075,-55.084225
0.22998,0.109619,-0.929199,-25.985716,40.931698,-43.80035
0.248535,0.188721,-0.990234,-26.145933,27.076719,-34.812927
0.255127,0.195557,-0.977539,-17.89093,23.780821,-32.646179
0.251221,0.157471,-0.933594,-10.467528,28.19824,-33.332825
