ax,ay,az,gx,gy,gz
0.220215,-0.949707,-0.12915,0.946045,-2.601623,-0.656128
0.218018,-0.95459,-0.128418,0.938415,-2.27356,-0.320435
0.220947,-0.954102,-0.128906,0.946045,-1.861572,-0.106812
0.222168,-0.957031,-0.129639,1.037598,-1.319885,0.099182
0.2229,-0.960938,-0.13208,0.976562,-0.907898,0.282288
0.224854,-0.959961,-0.131836,1.00708,-0.793457,0.289917
0.228516,-0.95874,-0.131348,0.999451,-0.88501,0.320435
0.230225,-0.959229,-0.132813,0.892639,-1.220703,0.320435
0.230713,-0.958008,-0.132568,0.831604,-1.533508,0.343323
0.228271,-0.959473,-0.13208,0.823975,-1.792908,0.305176
0.227783,-0.957764,-0.131836,0.88501,-1.968384,0.213623
0.228027,-0.955078,-0.133301,0.862122,-2.182007,0.183105
0.227295,-0.953369,-0.134033,0.747681,-2.426147,0.167847
0.226807,-0.956543,-0.132568,0.831604,-2.975464,0.076294
0.223877,-0.955322,-0.127441,0.778198,-3.204345,0.106812
0.221924,-0.954102,-0.124756,0.640869,-3.028869,0.25177
0.221191,-0.953857,-0.126709,0.656128,-2.815246,0.320435
0.220947,-0.954102,-0.126709,0.572205,-2.334595,0.450134
0.217041,-0.951172,-0.125732,0.595093,-1.823425,0.480652
0.21875,-0.951172,-0.125732,0.701904,-1.609802,0.434875
0.217773,-0.954346,-0.125488,0.732422,-1.419067,0.419617
0.220947,-0.956543,-0.123535,0.892639,-1.190186,0.404358
0.223633,-0.960449,-0.123291,0.831604,-1.075745,0.572205
0.224365,-0.961182,-0.124023,0.785828,-1.014709,0.839233
0.22583,-0.959473,-0.126953,0.75531,-1.060486,1.098633
0.224854,-0.960449,-0.130371,0.778198,-1.312256,1.327515
0.225586,-0.959473,-0.132324,0.701904,-1.64032,1.312256
0.226807,-0.958008,-0.134521,0.648498,-1.930237,1.289368
0.223389,-0.960449,-0.132813,0.50354,-2.288818,1.167297
0.217285,-0.957275,-0.131348,0.320435,-2.441406,1.113892
0.21875,-0.957275,-0.130371,0.061035,-1.907349,0.907898
0.217285,-0.955811,-0.130859,-0.25177,-1.25885,0.747681
0.218506,-0.957031,-0.131836,-0.37384,-0.556946,0.686645
0.218262,-0.958496,-0.131592,-0.556946,-0.053406,0.724792
0.219482,-0.958008,-0.129639,-0.793457,0.289917,0.694275
0.221436,-0.957764,-0.128174,-0.991821,0.511169,0.801086
0.223389,-0.958984,-0.127441,-1.144409,0.640869,0.88501
0.223145,-0.957031,-0.124512,-1.068115,0.793457,0.869751
0.222412,-0.956055,-0.123535,-1.075745,0.968933,0.740051
0.226074,-0.957031,-0.125732,-1.091003,1.045227,0.595093
0.225342,-0.958008,-0.128662,-1.182556,0.991821,0.640869
0.224609,-0.959229,-0.130615,-1.106262,0.915527,0.75531
0.226074,-0.958496,-0.135742,-1.098633,0.694275,0.679016
0.225098,-0.956055,-0.137695,-1.075745,0.259399,0.740051
0.225586,-0.95459,-0.13623,-0.930786,-0.152588,0.602722
0.224854,-0.955566,-0.137207,-0.694275,-0.579834,0.419617
0.224121,-0.955322,-0.137939,-0.686645,-0.991821,0.282288
0.2229,-0.955078,-0.137207,-0.671387,-1.602173,0.25177
0.221924,-0.955811,-0.137939,-0.617981,-2.182007,0.267029
0.222168,-0.956787,-0.136719,-0.602722,-2.502441,0.335693
0.222656,-0.956055,-0.135742,-0.62561,-2.76947,0.480652
0.223633,-0.958008,-0.136475,-0.671387,-2.967834,0.762939
0.223633,-0.95752,-0.133545,-0.801086,-3.250122,1.014709
0.222656,-0.956055,-0.135498,-0.900268,-3.601074,1.144409
0.222168,-0.953125,-0.132813,-0.923157,-3.753662,1.068115
0.222168,-0.951904,-0.130371,-1.052856,-3.562927,0.953674
0.221191,-0.953613,-0.131592,-1.091003,-3.227234,0.686645
0.221191,-0.956055,-0.132324,-1.121521,-2.868652,0.427246
0.22168,-0.955566,-0.13208,-1.182556,-2.555847,0.190735
0.218506,-0.954102,-0.131348,-1.274109,-2.204895,-0.099182
0.219727,-0.955078,-0.133789,-1.228333,-2.14386,-0.083923
0.221191,-0.958008,-0.13501,-1.190186,-2.388,-0.091553
0.220459,-0.959473,-0.136475,-1.144409,-2.578735,-0.076294
0.216309,-0.959717,-0.13916,-1.281738,-2.731323,0.0
0.216797,-0.956787,-0.136963,-1.396179,-2.975464,0.053406
0.216797,-0.957275,-0.138184,-1.411438,-3.089905,0.12207
0.213623,-0.95752,-0.133545,-1.38855,-3.211975,0.091553
0.214111,-0.956787,-0.135742,-1.564026,-2.906799,-0.007629
0.215332,-0.959961,-0.138184,-1.670837,-2.532959,-0.12207
0.212646,-0.961426,-0.139648,-1.792908,-2.586365,-0.160217
0.210938,-0.958496,-0.135742,-2.044678,-2.456665,-0.076294
0.212891,-0.957764,-0.136719,-1.991272,-2.151489,0.007629
0.21167,-0.958496,-0.137695,-1.983642,-2.174377,0.007629
0.207275,-0.957031,-0.137451,-2.159119,-2.380371,0.083923
0.211914,-0.95752,-0.134521,-2.037048,-2.388,0.198364
0.210449,-0.958008,-0.132568,-2.01416,-2.464294,0.152588
0.204346,-0.956543,-0.135254,-1.861572,-2.540588,0.038147
0.20166,-0.953857,-0.134277,-1.861572,-2.227783,0.068665
0.202881,-0.952637,-0.13208,-1.579285,-1.701355,0.030518
0.205078,-0.952881,-0.13208,-1.342773,-1.213074,0.083923
0.20166,-0.954346,-0.13501,-1.403808,-0.679016,0.190735
0.202148,-0.950439,-0.136475,-1.327515,0.0,0.320435
0.207764,-0.953613,-0.134277,-1.274109,0.518799,0.526428
0.210205,-0.954102,-0.137939,-1.12915,0.740051,0.450134
0.209961,-0.954346,-0.137939,-1.052856,0.862122,0.549316
0.210938,-0.955078,-0.137695,-1.00708,1.083374,0.465393
0.213867,-0.955811,-0.137207,-0.991821,1.152039,0.358582
0.215332,-0.957764,-0.140137,-0.900268,1.083374,0.236511
0.211914,-0.956299,-0.143066,-0.88501,0.709534,0.289917
0.213135,-0.95752,-0.139404,-0.999451,0.610352,0.305176
0.213623,-0.958008,-0.141602,-1.00708,0.762939,0.25177
0.210693,-0.960205,-0.145752,-0.984192,0.762939,0.167847
0.210938,-0.959229,-0.143555,-1.205444,0.892639,0.205994
0.209229,-0.960205,-0.145264,-1.289368,1.365662,0.175476
0.207031,-0.962891,-0.14502,-1.464844,1.808166,0.205994
0.207764,-0.961426,-0.144287,-1.480102,2.250671,0.213623
0.20874,-0.958496,-0.148438,-1.625061,2.532959,0.038147
0.20752,-0.957031,-0.148682,-1.693725,2.655029,0.175476
0.206299,-0.95752,-0.151611,-1.731872,2.883911,0.274658
0.208984,-0.956055,-0.149902,-1.754761,3.097534,0.198364
0.205322,-0.953613,-0.145752,-1.861572,3.456115,0.198364
0.203613,-0.951904,-0.144043,-1.655578,3.913879,0.160217
0.205811,-0.951172,-0.147461,-1.579285,4.554749,0.083923
0.206787,-0.949951,-0.148682,-1.419067,5.073547,0.106812
0.212891,-0.949463,-0.14917,-1.396179,5.043029,0.190735
0.211182,-0.948242,-0.150879,-1.464844,4.78363,0.411987
0.213379,-0.952148,-0.149902,-1.586914,4.562378,0.831604
0.214355,-0.955566,-0.149658,-1.625061,4.272461,0.991821
0.217285,-0.957764,-0.147705,-1.441955,4.318237,1.312256
0.217529,-0.954102,-0.149658,-1.159668,4.478455,1.350403
0.21875,-0.950439,-0.15332,-0.778198,4.386902,1.411438
0.22168,-0.951172,-0.155029,-0.480652,4.119873,1.266479
0.224854,-0.949463,-0.157471,-0.366211,3.410339,1.190186
0.221924,-0.947998,-0.157715,-0.198364,2.609253,1.022339
0.224854,-0.948242,-0.155518,-0.236511,1.960754,0.778198
0.224854,-0.946045,-0.157227,-0.205994,1.296997,0.679016
0.2229,-0.949951,-0.156006,-0.366211,0.701904,0.572205
0.22168,-0.949951,-0.157715,-0.50354,0.350952,0.473022
0.225342,-0.950195,-0.158691,-0.740051,-0.053406,0.602722
0.225586,-0.954834,-0.164307,-0.63324,-0.595093,0.495911
0.225098,-0.958984,-0.166504,-0.953674,-1.396179,0.511169
0.222412,-0.954346,-0.162354,-1.441955,-2.067566,0.610352
0.218262,-0.953857,-0.163818,-1.655578,-2.418518,0.579834
0.216309,-0.956787,-0.162109,-2.029419,-2.532959,0.526428
0.212891,-0.959717,-0.160645,-2.090454,-2.441406,0.419617
0.20874,-0.961426,-0.158203,-2.578735,-2.059937,0.511169
0.211914,-0.964111,-0.157715,-2.807617,-1.609802,0.663757
0.211182,-0.962402,-0.160156,-3.059387,-0.87738,0.862122
0.205811,-0.955322,-0.159912,-3.105163,-0.450134,0.923157
0.201904,-0.949707,-0.155762,-3.112793,0.328064,0.488281
0.201904,-0.953125,-0.152344,-2.89917,1.296997,0.228882
0.202637,-0.959473,-0.153076,-2.700805,1.831055,-0.068665
0.207764,-0.963867,-0.151367,-2.662658,1.88446,-0.053406
0.212891,-0.971924,-0.157715,-2.586365,1.411438,0.427246
0.214111,-0.968994,-0.163818,-2.6474,0.114441,1.12915
0.200928,-0.963135,-0.165771,-2.792358,-1.243591,1.655578
0.191895,-0.952881,-0.166504,-3.356933,-0.915527,2.334595
0.191895,-0.942139,-0.162842,-3.707886,1.060486,2.426147
0.180176,-0.932373,-0.155762,-3.921509,3.761291,1.838684
0.176514,-0.926025,-0.152588,-4.234314,7.835388,1.091003
0.182617,-0.923096,-0.151367,-4.440308,12.046813,-0.076294
0.181152,-0.922852,-0.147949,-4.66156,15.327453,-1.647949
0.18457,-0.921387,-0.138672,-4.882813,17.913818,-2.464294
0.193604,-0.921631,-0.131104,-4.776001,19.90509,-3.051758
0.212158,-0.918945,-0.131592,-4.631042,20.584105,-3.341675
0.219238,-0.924072,-0.131348,-3.715515,19.470215,-3.120422
0.221191,-0.923828,-0.130371,-3.082275,17.585754,-2.441406
