ax,ay,az,gx,gy,gz
-0.78418,-0.78833,-0.318359,11.184691,-216.064438,96.458427
-1.03833,-0.751709,-0.196289,-4.592896,-206.756577,97.991936
-1.304199,-0.704834,-0.022217,-26.870726,-157.920837,106.704704
-1.572754,-0.65332,0.05542,-48.599239,-80.978386,112.609856
-1.673096,-0.583008,-0.028564,-59.036251,14.801024,111.862175
-1.460205,-0.509766,-0.133301,-51.956173,115.730278,110.557549
-1.194336,-0.42749,-0.223145,-37.963867,205.45195,112.68615
-0.953857,-0.406982,-0.324707,-25.161741,249.992355,114.288322
-0.781982,-0.411377,-0.360596,-17.585754,249.992355,112.037651
-0.642578,-0.443115,-0.421875,-16.342163,226.440414,104.949944
-0.598877,-0.469482,-0.549561,-25.131224,168.243393,94.802849
-0.686035,-0.45459,-0.691406,-45.402523,101.84478,83.602898
-0.804688,-0.423828,-0.736816,-60.966488,49.072262,71.052551
-0.846436,-0.394531,-0.712402,-68.04657,34.27124,67.16156
-0.869141,-0.320068,-0.654053,-76.49231,63.095089,68.984985
-0.863525,-0.21875,-0.685547,-84.609978,98.609917,67.41333
-0.813232,-0.155273,-0.667236,-82.366936,112.220757,63.819881
-0.803711,-0.145752,-0.625244,-74.264526,112.274162,69.374084
-0.730713,-0.250732,-0.66748,-62.141415,115.646355,76.347351
-0.720947,-0.298584,-0.651855,-61.157223,139.778137,84.190361
-0.71875,-0.295166,-0.726807,-62.995907,152.923584,84.716789
-0.625732,-0.174561,-0.809082,-70.892334,151.428223,83.541862
-0.520508,-0.030029,-0.808594,-73.295593,131.942749,75.431824
-0.613037,0.071533,-0.762939,-71.517944,90.309135,62.728878
-0.781494,0.100342,-0.71167,-56.167599,45.043941,58.380123
-0.785889,0.042969,-0.691162,-43.518063,9.933472,57.861324
-0.652588,-0.035889,-0.68042,-38.497925,-21.156309,54.817196
-0.561523,-0.082031,-0.627197,-39.176941,-60.630795,54.817196
-0.559814,-0.05542,-0.605225,-43.05267,-104.728691,55.877682
