ax,ay,az,gx,gy,gz
1.009521,-0.509766,0.332275,30.22003,-92.994682,-25.848387
1.067139,-0.5271,0.29248,23.826597,-95.79467,-22.697447
1.068604,-0.534912,0.240479,23.376463,-100.112907,-15.11383
1.129639,-0.546387,0.181641,26.161192,-99.220268,-9.429932
1.071533,-0.500977,0.140625,30.303953,-87.333672,-5.851745
0.913574,-0.426758,0.128174,30.754087,-75.561523,-2.738952
0.843262,-0.44165,0.106689,30.319212,-72.631836,0.778198
0.837402,-0.461426,0.088623,31.959532,-67.176819,2.853393
0.848633,-0.461914,0.100342,31.074522,-53.169247,2.151489
0.831299,-0.471191,0.106934,28.816221,-36.758423,2.227783
0.796875,-0.475586,0.123535,26.527403,-25.901793,3.890991
0.798828,-0.462158,0.126465,23.498533,-23.475645,4.615784
0.808838,-0.442383,0.116943,20.423887,-24.963377,5.91278
0.799316,-0.433838,0.111572,18.264771,-25.039671,7.873535
0.776367,-0.442139,0.111816,16.944885,-22.315977,8.956909
0.76001,-0.461182,0.110107,16.136169,-16.448975,9.086609
0.758789,-0.469971,0.115234,15.007018,-9.819031,8.499146
0.765137,-0.47583,0.118408,12.954711,-4.379272,8.06427
0.775391,-0.486084,0.126709,10.69641,-0.259399,7.759094
0.788574,-0.494385,0.121338,8.636475,3.326416,7.102966
0.790527,-0.490723,0.113525,6.721496,6.637573,5.554199
0.788086,-0.484863,0.119629,4.753113,9.277344,4.020691
0.777832,-0.486572,0.126465,2.937317,11.131286,3.39508
0.786133,-0.498779,0.134033,1.541138,13.236999,3.410339
0.819824,-0.512451,0.134277,0.389099,16.609192,3.540039
0.827881,-0.517822,0.133789,-0.717163,22.056578,3.616333
0.800537,-0.520996,0.127197,-2.212524,25.80261,4.508972
0.781982,-0.525146,0.125732,-4.463196,26.466368,5.828857
0.762207,-0.533936,0.123047,-6.881713,25.337217,7.072448
0.751953,-0.543457,0.117432,-8.560181,23.132322,8.560181
0.754639,-0.551025,0.112793,-9.44519,21.263121,9.841919
0.742432,-0.55542,0.107178,-10.093688,19.40155,11.58142
0.736328,-0.561035,0.099121,-11.070251,16.51001,14.083861
0.719482,-0.56665,0.098633,-12.031554,14.198302,15.937804
0.707764,-0.58252,0.103516,-13.267516,11.665343,16.914368
0.698242,-0.59668,0.10376,-13.816833,9.300232,18.035889
0.688232,-0.602539,0.100586,-13.351439,8.132935,18.859863
0.672607,-0.586426,0.103027,-12.84027,8.674622,18.234253
0.703125,-0.575439,0.111084,-14.47296,10.101317,16.50238
0.749756,-0.579346,0.117188,-16.822815,14.396667,15.876769
0.755127,-0.587158,0.125732,-17.120361,21.156309,16.288757
0.744385,-0.59082,0.127686,-16.326904,26.512144,17.250061
0.745361,-0.5979,0.121094,-15.830993,29.518126,18.081665
0.743164,-0.597168,0.108887,-14.808654,30.265806,18.600464
0.740234,-0.598877,0.092529,-13.511657,29.151915,18.722534
0.734375,-0.603027,0.075684,-11.657714,25.711058,18.714905
0.734131,-0.605957,0.070557,-8.842468,21.667479,18.371582
0.755371,-0.592773,0.080322,-6.202697,19.523621,17.616272
0.779297,-0.581543,0.09668,-4.608154,21.827696,17.662048
0.778076,-0.568359,0.120605,-3.479004,28.160093,17.272949
0.756592,-0.566406,0.13916,-2.449036,35.491943,17.64679
0.73584,-0.573242,0.154541,-1.281738,41.778561,18.928528
0.719727,-0.588379,0.154297,0.12207,46.173092,19.721985
0.713379,-0.608887,0.158691,2.098083,48.736568,20.729063
0.705078,-0.616455,0.161865,3.868103,48.881527,22.125242
0.713867,-0.622559,0.169434,4.669189,48.072811,22.78137
0.716553,-0.626465,0.192139,5.531311,46.295162,22.888182
0.717041,-0.631592,0.226074,6.057739,43.876644,23.231504
0.714111,-0.646484,0.241699,6.156921,42.182919,23.994444
0.691895,-0.653076,0.251709,6.561279,41.877743,24.642942
0.681885,-0.652832,0.258301,6.462097,43.220516,25.421141
0.669678,-0.648193,0.255615,6.507873,47.302242,26.092527
0.657715,-0.650146,0.250732,7.690429,52.963253,25.711058
0.64209,-0.653564,0.256348,9.353638,59.188839,25.535582
0.619873,-0.6604,0.276123,10.551452,64.834595,25.787352
0.609375,-0.666504,0.298096,11.238097,69.602966,25.711058
0.594971,-0.673096,0.320068,11.917113,73.402405,26.031492
0.580078,-0.674561,0.332764,12.512206,73.951721,26.954649
0.56665,-0.671143,0.342529,12.33673,71.44928,27.664183
