ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
-0.297363,0.219482,0.72168,10.971068,-30.403135,-23.612974,-0.030273,0.099609,0.631592,-20.416258,-41.41235,-4.592896
-0.282227,0.147461,0.703857,11.741637,-19.90509,-17.974854,-0.04834,0.10791,0.604736,-26.31378,-37.452698,-3.257751
-0.234131,0.256836,0.924316,22.636412,-6.103515,-27.557371,-0.052979,0.125488,0.610352,-31.845091,-30.731199,-1.937866
-0.318848,0.150879,0.687256,12.641906,-17.76123,-13.877868,-0.064697,0.145264,0.932861,8.522034,-3.051758,-19.248962
-0.36499,0.227783,0.675537,16.50238,-22.102354,-3.166198,-0.059326,0.169678,0.957031,-1.235962,33.973694,1.342773
-0.359619,0.239502,0.695557,20.675657,-24.917601,2.677917,-0.089355,0.171143,0.940674,-1.976013,33.027649,3.15094
-0.337891,0.230469,0.703613,25.398252,-25.177,7.583618,-0.110596,0.175293,0.923584,-3.082275,31.494139,4.241943
-0.317871,0.212646,0.700195,29.304502,-22.65167,11.054992,-0.106934,0.188232,0.923584,-4.53186,29.533384,4.562378
-0.313965,0.17334,0.716064,33.432007,-17.494202,14.320373,-0.122559,0.173584,0.937256,-10.055541,12.199401,15.426635
-0.308594,0.13916,0.731201,37.597656,-12.176513,17.097473,-0.062012,0.194092,0.915283,-7.469177,24.375914,7.919311
-0.282959,0.125,0.74585,40.771481,-9.185791,18.249512,-0.081055,0.189453,0.914307,-8.476257,21.354673,11.428832
-0.291748,0.116699,0.781494,43.891903,-7.148742,19.264221,-0.111328,0.183838,0.924072,-9.208679,17.26532,13.961791
-0.29126,0.104736,0.813232,47.386166,-6.362915,19.775391,-0.08252,0.190186,0.917725,-6.347656,26.977537,5.470275
-0.167725,0.712402,1.285645,55.168148,1.495361,1.449585,-0.029785,0.162354,0.973633,-1.060486,34.14917,-0.923157
-0.340088,0.189209,0.678467,14.274596,-19.203186,-8.956909,0.13623,0.424561,0.979736,1.907349,17.059326,-45.257565
-0.228516,0.248535,0.963379,24.604795,-9.262085,-26.43585,0.018066,0.147461,1.016602,-0.465393,29.548643,-4.440308
-0.278564,0.171631,0.714844,11.550902,-24.848936,-20.774839,0.050537,0.151855,1.022949,-0.595093,23.262022,-7.141113
-0.224854,0.247803,0.948242,26.512144,-16.548157,-23.91815,0.062988,0.165039,1.010254,-1.281738,16.288757,-9.986877
-0.231201,0.247314,0.961426,25.611876,-12.802123,-25.581358,0.064941,0.194336,1.002197,-1.739502,10.536193,-12.573241
-0.204346,0.636963,1.220459,65.170288,29.579161,-11.108397,0.082764,0.230469,0.996826,-2.098083,5.874633,-16.197205
-0.216064,0.614502,1.188477,68.359375,18.501282,-16.815186,0.104248,0.265381,0.996338,-1.998901,2.220154,-20.950315
-0.219482,0.598633,1.194336,72.151184,-1.708984,-23.269651,0.109375,0.289307,1.0,-1.403808,0.991821,-26.428221
-0.229004,0.59668,1.211182,76.004028,-24.887083,-29.006956,0.110107,0.320068,0.992432,-0.518799,2.799988,-32.455444
-0.237061,0.605713,1.238037,78.804016,-46.257015,-32.455444,0.10498,0.351318,0.990479,0.892639,7.003784,-37.834167
-0.248291,0.606934,1.265869,80.80291,-62.911983,-33.508301,0.114746,0.389648,0.983154,1.731872,12.443542,-42.106625
-0.243408,0.576172,1.288818,81.794731,-71.990967,-32.318115,-0.119141,0.157959,0.945557,-10.864257,7.331848,16.929626
-0.198975,0.513916,1.258301,80.520622,-70.724487,-30.174253,-0.010986,0.151611,0.999512,-0.671387,33.027649,-2.716064
-0.144287,0.442871,1.166992,75.332642,-60.836788,-28.511045,-0.116943,0.150391,0.950195,-11.047362,3.791809,18.310547
-0.146729,0.391602,1.060791,66.871643,-47.988888,-25.924681,-0.038818,0.254639,1.064209,-15.762328,12.535094,37.887573
-0.190186,0.666748,1.258301,61.729427,28.350828,-6.790161,-0.077637,0.161133,0.945557,-12.054442,0.564575,19.950867
-0.17334,0.327148,1.005615,49.751278,-32.798767,-19.40155,0.158447,0.429199,0.981445,1.068115,19.416809,-47.599789
-0.170654,0.350342,0.996582,57.266232,-37.940979,-22.087095,0.098145,0.440674,0.833008,-19.889832,-8.506775,34.683228
-0.207275,0.268311,0.972412,28.816221,-26.374815,-18.058777,0.096436,0.42627,0.848145,-21.919249,-7.972717,34.645081
-0.222168,0.286377,0.996338,30.319212,-31.044004,-15.11383,0.07251,0.405762,0.875488,-22.560118,-6.584167,34.667969
-0.241699,0.304199,1.026611,32.13501,-34.049988,-13.015746,0.037354,0.381104,0.916504,-21.682737,-3.097534,35.15625
-0.255615,0.318359,1.058838,33.988953,-34.446716,-12.21466,0.005615,0.35791,0.958252,-19.844055,2.006531,35.751343
-0.208496,0.255859,0.949707,27.511595,-21.27075,-21.423338,-0.017334,0.346436,0.987061,-18.005371,7.469177,36.300659
-0.251953,0.348145,1.076172,37.92572,-29.983519,-13.267516,-0.031982,0.344971,0.991699,-15.624999,12.481688,38.192749
-0.240234,0.346191,1.062988,41.328426,-28.892515,-14.945983,-0.019287,0.328613,0.997314,-14.205932,15.708922,40.40527
-0.209717,0.331787,1.04248,45.227047,-30.029295,-17.166138,0.017578,0.307861,1.011719,-15.747069,16.357422,41.023251
-0.258789,0.333252,1.080566,35.636902,-32.516479,-12.222289,-0.0979,0.155518,0.951172,-11.436461,1.548767,18.920898
-0.311279,0.157471,1.000732,15.2359,-10.009766,28.900145,0.034912,0.29126,1.0271,-18.218994,14.61029,40.321346
-0.339111,0.11377,0.857178,6.744384,6.309509,27.290342,-0.003906,0.271729,1.055176,-18.058777,11.337279,38.627625
-0.3479,0.11499,0.88501,6.317138,4.470825,26.199339,-0.054688,0.236084,1.072266,-12.001037,15.045165,37.460327
-0.361328,0.119141,0.905029,6.408691,-0.053406,25.474546,-0.053223,0.212891,1.071289,-8.712769,17.715454,36.384583
-0.368408,0.125977,0.92627,7.04956,-6.324768,24.993895,-0.040283,0.195068,1.042969,-7.110595,19.058228,34.248352
-0.370605,0.136475,0.945068,8.216858,-12.702941,25.100706,-0.02002,0.180176,1.003906,-8.148193,17.562866,31.34918
-0.358154,0.151123,0.955078,9.597778,-17.570496,25.3067,-0.016357,0.171631,0.980469,-10.810851,13.526916,28.732298
-0.343506,0.107666,0.837158,7.942199,5.569458,28.678892,-0.040039,0.170654,0.970459,-13.038634,8.903503,26.550291
-0.344482,0.157471,0.978027,11.474608,-19.256592,25.787352,-0.075195,0.179199,0.962646,-14.045714,5.310058,24.932859
-0.332031,0.157227,0.994141,13.671874,-16.723633,27.175901,-0.089355,0.183594,0.948975,-13.549804,3.120422,24.04785
-0.307129,0.147949,1.003418,15.937804,0.061035,31.013487,-0.084229,0.171875,0.939209,-12.565612,1.274109,22.384642
-0.360596,0.14917,0.994141,10.780334,44.242855,43.037411,0.020264,0.286133,1.044434,-18.974304,12.321471,39.56604
-0.327393,0.140381,0.987061,14.305114,21.293638,36.193848,0.149414,0.414795,0.995361,-0.305176,19.561768,-47.95837
-0.334961,0.146973,0.986084,12.725829,30.265806,38.673401,0.07959,0.430176,0.825928,-17.684937,-8.972168,34.484863
-0.35083,0.152832,0.991699,11.390685,38.238525,40.870663,0.137695,0.394287,1.035889,-1.174927,12.634276,-44.677731
-0.365234,0.143555,0.987793,9.918213,47.340389,45.509335,0.320313,0.358887,0.935059,18.188477,-7.637023,-14.045714
-0.380859,0.138916,0.98584,8.331299,45.730587,47.45483,0.325195,0.351563,0.921631,18.745422,-8.399963,-12.695312
-0.40625,0.129395,0.99585,7.202148,39.245605,48.225399,0.334473,0.353027,0.917725,18.928528,-9.391785,-11.108397
-0.416504,0.125488,0.990234,6.202697,29.617308,47.370907,0.347656,0.352051,0.908203,18.501282,-10.238647,-10.421752
-0.399658,0.131348,0.964355,3.860473,19.927979,44.982906,0.349365,0.353027,0.903076,17.448425,-10.559081,-9.994507
-0.363525,0.128418,0.947021,1.159668,12.641906,41.145321,0.337646,0.359375,0.903564,16.677856,-10.269164,-9.57489
-0.366699,0.102783,0.838867,9.57489,3.562927,29.998777,0.331543,0.363037,0.902344,16.204834,-9.384155,-9.124756
-0.317139,0.139404,0.993164,15.495299,11.085509,33.409119,0.333984,0.362793,0.897461,15.823363,-7.980346,-9.010315
-0.38208,0.104248,0.842529,11.45935,1.220703,30.59387,0.337402,0.354492,0.892578,15.655517,-6.54602,-8.934021
-0.330322,0.124512,0.927979,-0.930786,8.987427,37.132263,0.334961,0.348633,0.881104,15.480041,-5.378723,-8.758545
-0.386475,0.116211,0.879639,15.99121,-0.259399,32.63092,0.325928,0.368896,0.949463,16.616821,-7.026672,-15.228271
-0.124023,0.179688,1.09375,-2.342224,28.930662,16.410828,0.324219,0.342285,0.865479,14.968871,-4.516602,-8.407593
-0.146729,0.179443,1.104492,-3.303528,28.541563,19.27948,0.312256,0.331787,0.888184,13.793944,-4.501343,-6.210327
-0.168457,0.183105,1.112061,-3.570556,27.19116,22.201536,0.315674,0.316162,0.893311,13.740539,-6.263732,-4.997253
-0.182129,0.187988,1.121094,-2.89154,25.024412,25.154112,0.321289,0.299805,0.90332,13.694762,-8.598328,-3.875732
-0.198486,0.192383,1.128662,-1.434326,22.28546,28.20587,0.317627,0.289795,0.908936,14.060973,-10.658263,-3.250122
-0.218506,0.198975,1.132813,1.091003,19.454956,31.272886,0.309326,0.294434,0.907715,14.10675,-12.397765,-2.906799
-0.238525,0.209717,1.123291,3.936767,16.716003,34.286499,0.29541,0.305664,0.899658,13.755797,-14.083861,-2.319336
-0.25293,0.223633,1.11792,6.912231,14.259337,36.811829,0.28418,0.318604,0.891113,12.611388,-16.143799,-0.869751
-0.275391,0.238037,1.121094,10.06317,12.20703,38.81073,0.28125,0.339111,0.887695,11.528014,-17.944336,0.564575
-0.30249,0.244873,1.136475,13.351439,10.154723,40.237423,0.273682,0.360596,0.88501,11.054992,-18.486023,1.449585
-0.394531,0.112305,0.858398,13.565063,0.152588,31.440733,0.243896,0.377441,0.895508,11.161803,-16.960144,3.364563
-0.333252,0.244385,1.148438,16.784668,8.605957,41.145321,0.317871,0.340576,0.874268,14.198302,-4.081726,-7.67517
-0.363037,0.206787,1.125977,23.132322,7.469177,42.739864,0.337891,0.374756,0.962646,14.701842,-5.767822,-15.73944
-0.370361,0.195068,1.085449,24.574278,7.972717,43.350216,0.131348,0.403564,1.019043,-0.846863,17.311096,-46.524044
-0.378174,0.189453,1.042969,25.024412,8.110046,43.16711,0.325928,0.391113,0.973633,11.978148,-1.678467,-15.678405
-0.396484,0.1875,1.005859,25.535582,7.751464,42.129513,0.151123,0.384277,1.042236,-1.663208,6.370544,-42.66357
-0.419678,0.183105,0.9646,24.902342,7.278442,40.939327,0.159424,0.376709,1.045654,-2.105713,0.007629,-40.702816
-0.428223,0.158691,0.940918,23.857115,6.469726,39.848328,0.168945,0.372803,1.05249,-2.738952,-5.073547,-39.306641
-0.420898,0.128906,0.929688,22.888182,4.966736,38.253784,0.169434,0.364258,1.056152,-3.112793,-8.766174,-38.078308
-0.409668,0.117676,0.913086,21.537779,2.777099,36.613464,0.177246,0.36499,1.035645,-3.517151,-11.909484,-36.91864
-0.40332,0.117188,0.905762,19.729614,1.159668,35.690308,0.201904,0.391113,0.986328,-4.524231,-14.884948,-36.170959
-0.386719,0.116943,0.894775,17.959595,0.12207,34.324646,0.33667,0.384766,0.969482,13.038634,-3.784179,-15.73944
-0.356201,0.227539,1.149414,20.286558,7.720947,42.022701,0.254395,0.508057,0.878906,-8.163452,-19.187927,-35.766602
-0.29834,0.115967,0.908936,-2.006531,8.781433,33.172607,0.265381,0.551758,0.891357,-9.58252,-19.683838,-35.369873
-0.103271,0.180908,1.086426,-0.930786,27.8244,13.893126,0.253662,0.557373,0.94043,-10.353087,-17.929077,-34.194946
-0.20166,0.072021,0.901123,-3.959656,12.039184,22.567747,0.238037,0.547363,0.986084,-9.727478,-14.694213,-32.325745
-0.118652,0.154053,0.571533,-68.084717,-35.03418,-7.415771,0.232422,0.44458,0.922119,-6.217956,-17.318726,-35.850525
-0.115234,0.161133,0.530273,-69.328308,-41.275021,-11.680602,0.258789,0.552979,1.006104,-5.775451,-7.568359,-29.006956
-0.100342,0.165283,0.518555,-70.877075,-45.791622,-16.288757,0.280762,0.553711,0.999756,-4.051208,-4.882813,-27.908323
-0.089355,0.172607,0.516846,-72.105408,-48.927303,-20.462034,0.290039,0.549805,0.996582,-2.89917,-3.532409,-26.344297
-0.089111,0.180664,0.521973,-73.120117,-50.445553,-22.865294,0.292969,0.53833,1.003174,-0.923157,-3.074646,-24.818419
-0.077637,0.189453,0.547119,-72.868347,-51.277157,-23.956297,0.285156,0.518066,1.0,1.838684,-2.609253,-23.15521
-0.069824,0.203369,0.578369,-71.228027,-51.338192,-24.29199,0.275391,0.498779,0.988037,4.554749,-1.937866,-21.27075
-0.070068,0.218262,0.591797,-68.740845,-49.789425,-23.719786,0.272217,0.474365,0.980225,6.889343,-1.319885,-19.294739
-0.070313,0.222168,0.594238,-65.52124,-46.95892,-22.636412,0.281494,0.447266,0.977539,9.07135,-0.610352,-18.005371
-0.077881,0.218994,0.593506,-61.668392,-44.715878,-22.560118,0.290527,0.419434,0.976807,10.597228,-0.030518,-16.975403
-0.143555,0.155029,0.585449,-67.863464,-25.032042,-2.685547,0.309082,0.4021,0.9729,11.344909,-0.312805,-16.021729
-0.094482,0.216064,0.590332,-57.960506,-45.486446,-24.131773,0.237061,0.545898,1.004883,-7.835388,-11.100768,-30.296324
-0.136475,0.236816,0.63623,-50.262447,-54.031368,-27.725218,0.081055,0.670166,1.169922,29.441832,-11.726378,-0.198364
-0.13208,0.234863,0.723389,-43.594357,-60.111996,-31.425474,0.078613,0.680664,1.187988,30.364988,-13.71765,-0.25177
-0.142578,0.244629,0.78125,-35.102844,-64.620972,-34.797668,0.066406,0.684082,1.213135,30.868528,-14.907836,-0.488281
-0.151855,0.266602,0.798828,-27.603148,-65.200806,-35.758972,0.053711,0.679443,1.22583,31.082151,-15.174865,-2.471924
-0.134277,0.272949,0.826904,-21.347044,-62.240597,-35.629272,0.113525,0.759033,1.271729,31.272886,-8.499146,-20.988462
-0.137939,0.260986,0.860107,-15.61737,-56.205746,-34.431458,0.036865,0.691406,1.250488,32.066345,-12.428283,-9.101868
-0.13501,0.267578,0.833984,-12.7182,-46.806332,-32.325745,0.037354,0.708008,1.253906,32.157898,-10.597228,-13.328551
-0.131592,0.287109,0.775391,-14.442443,-33.103943,-29.403685,0.067383,0.734619,1.257324,31.768797,-9.262085,-17.868042
-0.12793,0.296387,0.726563,-18.997192,-18.333435,-27.076719,0.042725,0.680176,1.231201,31.669615,-14.251708,-5.676269
-0.141846,0.301758,0.703125,-22.720335,-9.58252,-27.267454,0.075439,0.654541,1.153076,28.724669,-9.880066,0.205994
-0.126709,0.223389,0.593018,-54.481503,-48.728939,-25.657652,0.138184,0.587646,0.924316,16.448975,-28.694151,-6.057739
-0.158691,0.148926,0.570557,-66.917419,-12.96997,0.793457,0.052979,0.637939,1.112061,27.015684,-8.728027,1.25885
-0.251221,0.10083,0.900146,-2.89917,10.093688,28.312681,0.025146,0.630371,1.084473,26.908873,-7.4234,3.219604
-0.128418,0.105713,0.578125,-60.646053,14.846801,6.431579,0.029785,0.618896,1.05835,26.931761,-6.301879,4.066467
-0.162109,0.037354,0.931641,-4.447937,14.175414,16.891479,0.054199,0.605957,1.038574,26.18408,-6.54602,4.348755
-0.133301,0.007813,0.968994,-4.173279,15.579223,12.649535,0.068359,0.599365,1.015137,25.482176,-8.18634,4.981995
-0.117188,-0.01123,1.002686,-3.425598,16.189575,10.345458,0.082031,0.601318,1.006836,25.520323,-10.124206,5.126953
-0.099854,-0.018555,1.025146,-2.258301,16.212463,8.934021,0.104248,0.596924,0.993896,24.345396,-12.420653,3.952026
-0.087891,-0.016602,1.0354,-1.197815,15.99121,7.568359,0.128662,0.587891,0.983887,22.712706,-16.220093,1.838684
-0.078857,-0.02002,1.044678,-0.114441,16.395569,6.347656,0.144287,0.574219,0.975342,20.416258,-20.874022,-0.701904
-0.14624,0.129395,0.56958,-64.323425,0.816345,3.547668,0.148193,0.567139,0.951904,18.39447,-25.253294,-3.669739
-0.060547,-0.025635,1.053955,1.609802,16.639709,4.03595,0.125244,0.779785,1.28125,31.379698,-9.468079,-21.369932
-0.059326,-0.018066,1.039795,1.609802,15.800475,2.838135,0.075439,0.644775,1.136475,27.732847,-9.185791,0.236511
-0.060547,-0.021484,1.023682,1.76239,15.312194,2.296448,0.10498,0.806641,1.29126,30.677794,-13.824462,-20.530699
-0.065186,-0.02124,0.984375,1.144409,16.342163,2.723694,0.226807,0.91626,1.3396,10.864257,-27.336119,-12.21466
-0.068848,-0.026367,1.058594,1.106262,16.944885,5.264282,0.092773,0.84668,1.272949,25.794981,-32.25708,-19.165039
-0.058105,-0.017334,0.891113,-5.760192,23.620604,4.043579,0.128174,0.632813,0.900391,15.541076,-31.707762,-7.392883
-0.060059,-0.017822,0.856445,-10.871886,27.801512,4.447937,0.212158,0.807617,1.235352,-24.780272,-2.349854,3.257751
-0.062012,-0.008789,0.824219,-16.166687,30.487059,4.470825,0.221436,0.823975,1.272949,-23.101805,-2.029419,2.113342
-0.080322,0.006836,0.794189,-21.133421,32.684326,4.432678,0.213379,0.829346,1.305176,-21.27075,-1.945495,2.029419
-0.102539,0.019775,0.766846,-26.168821,34.912109,5.355834,0.216553,0.830811,1.331543,-19.14978,-2.227783,1.853943
-0.101563,0.03125,0.734131,-31.799314,36.613464,7.621765,0.214111,0.830811,1.352539,-16.235352,-2.6474,0.717163
-0.072754,0.043457,0.693848,-37.788391,36.735535,8.674622,0.196777,0.845215,1.359131,-12.260436,-2.944946,0.38147
-0.079346,0.055664,0.656494,-44.364925,35.797119,9.101868,0.199707,0.86792,1.351563,-7.522583,-3.356933,-0.236511
-0.095215,0.068359,0.624268,-50.720211,32.714844,9.178162,0.233154,0.878418,1.335449,-3.997802,-5.134582,-3.234863
-0.109619,0.085449,0.591553,-56.175228,25.978086,8.361816,0.245361,0.894531,1.333984,-0.946045,-8.056641,-6.309509
-0.060303,-0.015381,0.931396,-1.541138,19.27948,3.372192,0.090576,0.831055,1.296143,28.434752,-22.041319,-20.011902
