ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
0.216064,-0.39917,0.528076,23.16284,-148.391724,178.726181,0.440674,0.679688,0.453613,-71.868896,-59.867855,3.967285
0.241211,-0.443359,0.533447,26.672361,-127.868645,177.207932,0.403076,0.69043,0.42334,-73.96698,-63.552853,1.853943
0.249268,-0.498535,0.576904,26.756285,-108.467094,173.171982,0.369629,0.680176,0.395752,-75.714111,-63.224789,-0.709534
0.263428,-0.545166,0.621094,24.353025,-92.597954,168.571457,0.351807,0.654785,0.352295,-76.499939,-60.18066,-2.388
0.25293,-0.542236,0.676025,23.811338,-81.93969,163.49791,0.335205,0.634766,0.318115,-76.49231,-56.213375,-3.211975
0.197998,-0.511719,0.688965,27.847288,-74.478149,163.505539,0.307129,0.627441,0.293701,-76.095581,-52.49786,-5.279541
0.185303,-0.473633,0.67749,34.301758,-69.709778,170.150742,0.278809,0.638428,0.262451,-74.829102,-50.018307,-9.132385
0.274414,-0.456055,0.67749,41.229244,-68.069458,174.20195,0.446289,0.618652,0.471191,-59.844967,-27.969358,1.213074
0.398193,-0.498047,0.614258,47.592159,-66.719055,172.988876,0.998779,1.250977,0.041504,-71.861267,42.152401,64.559937
0.486328,-0.574707,0.556152,47.95837,-62.095638,167.793259,1.134033,1.439697,-0.088135,-41.564938,12.039184,84.320061
0.192871,-0.335693,0.590088,17.00592,-166.694626,176.055893,0.331055,1.127686,0.174072,-51.223751,63.949581,61.19537
0.039795,-0.539063,0.72168,45.356747,42.076107,26.229856,-0.201416,0.908447,0.242188,-7.110595,87.806694,-5.729675
-0.075928,-0.495361,0.849609,53.733822,70.098877,33.378601,-0.183838,0.987793,0.164063,-3.372192,83.94622,-4.020691
-0.035889,-0.532227,0.848145,50.697323,65.917969,38.749695,-0.125732,1.002686,0.13208,0.892639,81.878654,-5.966186
-0.064697,-0.515137,0.854004,51.284786,69.366455,41.328426,-0.093506,1.010498,0.140137,1.281738,80.635063,-11.978148
-0.22998,-0.430664,0.894775,38.291931,67.718506,-17.189026,0.000977,1.042725,0.213135,3.471374,76.828003,-10.650634
-0.241699,-0.204834,0.865234,67.115784,59.089657,32.745361,0.092285,1.042236,0.243164,7.522583,66.352844,-7.843017
-0.166504,-0.260498,0.88208,52.314754,51.422115,2.532959,0.143799,0.98291,0.235352,12.329101,54.115292,-10.643004
-0.07959,-0.538574,0.901611,28.846739,52.490231,-34.828186,0.135254,0.971436,0.224854,16.685486,41.137691,-13.961791
-0.15625,-0.386719,0.859375,59.42535,69.320679,36.903381,0.112061,0.988037,0.205566,18.1427,30.235289,-18.516541
-0.066406,-0.459717,0.838135,52.742001,75.645447,34.576416,0.073242,1.03418,0.236816,11.131286,17.623901,-15.930175
0.151367,-0.644775,0.729736,59.280392,47.95837,38.093567,-0.28418,0.911865,0.314941,-5.943298,95.115654,-6.278991
-0.005371,-0.415771,1.020996,63.674923,60.69183,34.240723,0.069336,1.031738,0.278564,7.911682,16.830444,-9.460449
0.048828,-0.44043,0.789551,61.546322,73.806763,44.723507,0.084717,1.027588,0.315918,0.968933,13.168334,-1.922607
0.118652,-0.509033,0.790527,64.27002,67.810059,45.166012,0.05835,1.065674,0.32666,1.586914,5.218505,7.6828
0.166504,-0.587402,0.772705,63.041683,57.800289,41.816708,0.019043,1.074951,0.327637,4.592896,-3.166198,15.419005
0.113281,-0.698486,0.692871,51.74255,39.558411,35.758972,-0.063721,0.992676,0.304443,-1.182556,-2.677917,17.051697
0.089844,-0.707275,0.679688,44.845577,34.77478,33.004761,-0.120361,0.95459,0.279297,-12.08496,9.628296,15.411376
0.034668,-0.678223,0.670898,40.695187,35.133362,30.014036,-0.117676,0.923096,0.266602,-25.596617,28.732298,20.484922
0.019043,-0.635254,0.682617,38.856506,37.590027,27.664183,-0.015137,0.907471,0.262207,-39.421082,49.667355,30.868528
0.025635,-0.579834,0.703369,40.390011,39.894104,26.527403,0.102783,0.976318,0.240723,-50.148006,65.246582,41.603085
-0.388184,-0.149414,0.829346,46.386715,72.265625,-16.75415,0.236084,1.058838,0.209229,-53.565975,70.121765,51.773067
-0.050293,-0.437012,0.826172,53.1311,75.904846,38.452148,1.089355,1.380127,-0.011475,-56.396481,28.030394,73.371887
-0.431885,-0.074219,0.782959,42.022701,38.070679,-43.594357,0.075439,1.023682,0.304199,3.723144,16.532898,-6.065368
-0.051025,-0.67749,0.745361,37.536621,-14.137267,-50.849911,-0.463623,0.926025,0.351074,-6.950378,92.872612,-5.249023
