ax,ay,az,gx,gy,gz
-0.274658,-0.965332,0.114502,0.793457,2.792358,3.135681
-0.274902,-0.965332,0.113037,0.648498,3.02124,3.280639
-0.272217,-0.962158,0.112793,0.572205,3.082275,3.456115
-0.271973,-0.960205,0.112061,0.526428,3.295898,3.562927
-0.272705,-0.959961,0.110107,0.488281,3.601074,3.829956
-0.274902,-0.957031,0.110107,0.427246,3.768921,4.03595
-0.273926,-0.958252,0.10791,0.549316,4.081726,4.020691
-0.274902,-0.960205,0.107422,0.808716,4.356384,3.807068
-0.275635,-0.966309,0.108154,0.816345,4.585266,3.479004
-0.276855,-0.969727,0.10791,1.068115,5.142211,3.051758
-0.281494,-0.971924,0.107666,1.106262,5.561828,2.380371
-0.285645,-0.970215,0.105957,1.235962,6.034851,1.777649
-0.288086,-0.968506,0.107178,1.266479,6.553649,1.342773
-0.290771,-0.967773,0.106934,1.159668,7.080078,1.075745
-0.295898,-0.963379,0.105957,1.182556,7.347106,0.946045
-0.29834,-0.963623,0.107666,0.923157,7.316589,0.831604
-0.301514,-0.964355,0.109619,0.62561,6.988525,1.022339
-0.302979,-0.962891,0.108887,0.549316,6.195068,1.068115
-0.299072,-0.964844,0.113037,0.411987,5.249023,1.235962
-0.300781,-0.965576,0.114502,0.350952,4.623413,1.426697
-0.300293,-0.963867,0.115967,0.457764,4.142761,1.63269
-0.300049,-0.963623,0.119873,0.50354,3.440857,1.716614
-0.301514,-0.96582,0.116699,0.640869,2.761841,1.937866
-0.30127,-0.966797,0.114502,0.740051,2.113342,2.128601
-0.301025,-0.96875,0.11084,0.75531,1.495361,2.26593
-0.297119,-0.968506,0.108887,0.87738,1.106262,2.418518
-0.296875,-0.970947,0.104248,0.900268,0.999451,2.326965
-0.295654,-0.967773,0.10376,1.014709,0.892639,2.418518
-0.293945,-0.964355,0.104248,1.106262,0.984192,2.342224
-0.290771,-0.965088,0.104492,0.946045,0.999451,2.502441
-0.289795,-0.9646,0.104248,0.793457,1.167297,2.563476
-0.289307,-0.965576,0.106445,0.976562,1.525879,2.548218
-0.287598,-0.968994,0.108643,1.12915,1.831055,2.548218
-0.290039,-0.974365,0.108887,1.358032,2.182007,2.510071
-0.288818,-0.974365,0.105225,1.63269,2.76947,2.502441
-0.290771,-0.972168,0.105225,1.823425,3.326416,2.471924
-0.291748,-0.9729,0.104248,2.01416,3.837585,2.502441
-0.294434,-0.968262,0.105469,2.13623,4.264832,2.510071
-0.296875,-0.966309,0.103516,2.105713,4.470825,2.700805
-0.294922,-0.966309,0.102783,2.090454,4.341125,2.89154
-0.296875,-0.962402,0.10498,1.960754,4.219055,3.013611
-0.299561,-0.960205,0.108643,1.777649,4.096985,3.166198
-0.297363,-0.960205,0.107178,1.617432,3.868103,3.242492
-0.300537,-0.958984,0.105713,1.411438,3.89862,3.242492
