ax,ay,az,gx,gy,gz
-0.281738,-0.959229,0.112061,0.648498,-4.508972,-2.89154
-0.283203,-0.95874,0.115723,0.88501,-4.226685,-2.952575
-0.285889,-0.950928,0.11499,0.602722,-3.860473,-2.914428
-0.290039,-0.944824,0.113525,0.37384,-3.15094,-2.922058
-0.290771,-0.942871,0.119385,0.656128,-1.937866,-2.853393
-0.292725,-0.941406,0.123047,1.251221,-0.267029,-3.074646
-0.291748,-0.942871,0.124268,1.777649,1.449585,-3.40271
-0.291016,-0.94458,0.126465,2.113342,2.937317,-3.822326
-0.291504,-0.942383,0.130127,2.319336,4.447937,-4.119873
-0.292236,-0.938721,0.12915,2.624511,5.676269,-4.417419
-0.291016,-0.937256,0.128174,3.082275,7.057189,-4.692078
-0.287598,-0.937744,0.12915,3.784179,8.468628,-4.943848
-0.284912,-0.941406,0.125977,4.753113,9.750366,-5.096435
-0.282959,-0.946289,0.128174,5.897521,10.604857,-5.073547
-0.279785,-0.951904,0.128662,6.484985,11.001586,-4.730225
-0.279785,-0.957764,0.124023,6.805419,11.009215,-4.348755
-0.274658,-0.958984,0.123535,6.866455,10.780334,-3.822326
-0.275879,-0.955078,0.119873,6.614685,10.238647,-3.128052
-0.276855,-0.952637,0.118408,6.790161,9.643555,-2.464294
-0.268311,-0.952881,0.12085,7.209777,9.292603,-2.304077
-0.262451,-0.950928,0.121582,7.652282,9.040833,-2.593994
-0.263916,-0.95459,0.119141,7.6828,8.621216,-2.548218
-0.260254,-0.959473,0.114014,7.316589,8.010864,-2.319336
-0.256348,-0.959473,0.106201,6.538391,7.003784,-1.983642
-0.252441,-0.958008,0.103516,5.653381,5.66101,-1.449585
-0.255371,-0.957764,0.106201,5.187988,4.112244,-0.434875
-0.26123,-0.954346,0.114746,4.524231,2.120972,0.610352
-0.264404,-0.951172,0.116699,3.234863,-0.038147,1.708984
-0.259766,-0.94458,0.109619,1.930237,-1.51062,1.945495
-0.258301,-0.945557,0.098633,0.869751,-2.349854,1.373291
-0.261963,-0.955078,0.086914,0.144958,-2.410889,0.587463
-0.266846,-0.97168,0.084473,-0.663757,-1.441955,-0.12207
-0.265381,-0.974609,0.083252,-1.693725,-0.450134,-0.411987
-0.262695,-0.972168,0.08252,-2.838135,-0.50354,-0.213623
-0.262451,-0.972412,0.075195,-4.165649,-1.663208,-0.167847
-0.25708,-0.970215,0.077148,-5.279541,-3.372192,-1.289368
-0.257813,-0.968018,0.082275,-6.149292,-4.852295,-2.334595
-0.262207,-0.970215,0.084961,-7.148742,-5.859375,-3.196716
-0.258545,-0.978271,0.075684,-8.766174,-6.286621,-4.226685
-0.255615,-0.990234,0.069092,-10.650634,-6.309509,-5.195617
-0.268066,-1.000244,0.070557,-12.557982,-5.622863,-6.019592
-0.274414,-1.006104,0.085205,-14.259337,-4.928589,-6.462097
-0.263428,-1.003174,0.087402,-16.166687,-5.348205,-6.637573
-0.259033,-0.998291,0.074707,-19.15741,-6.950378,-6.683349
-0.264893,-1.000732,0.063721,-23.109434,-8.483887,-7.011413
-0.276367,-1.010254,0.04834,-28.106688,-8.880615,-6.759643
-0.290283,-1.015381,0.049805,-32.76062,-7.217407,-5.531311
-0.289795,-1.001953,0.057373,-35.636902,-4.096985,-4.211426
-0.277344,-0.989258,0.051025,-36.53717,-1.220703,-3.234863
-0.268799,-0.989502,0.039307,-37.574768,-0.823975,-2.304077
-0.261719,-0.999512,0.030273,-39.588928,-1.899719,-1.38855
-0.262939,-0.980469,0.038086,-39.634705,-2.326965,-1.13678
-0.273682,-0.976807,0.023926,-36.29303,-2.601623,-1.609802
-0.286865,-0.986572,0.016357,-33.828735,-2.059937,-1.914978
-0.293945,-0.989014,0.010254,-33.927917,0.366211,-2.510071
-0.297119,-0.983398,0.000488,-33.912659,3.456115,-4.150391
-0.294189,-0.95752,0.007813,-31.150816,6.568908,-7.011413
-0.296143,-0.939209,0.013672,-26.229856,10.589599,-9.872437
-0.29126,-0.934082,0.017334,-21.499632,14.488219,-12.08496
-0.279053,-0.945068,0.027588,-18.096924,17.219543,-13.954162
-0.27002,-0.95459,0.025879,-17.227173,18.470764,-15.678405
-0.24292,-0.94458,0.043701,-17.311096,17.623901,-17.700195
-0.235596,-0.922607,0.064453,-15.518188,16.578674,-19.950867
-0.248291,-0.933838,0.048828,-15.747069,15.060424,-20.51544
-0.253174,-0.963867,0.024414,-20.530699,13.557433,-19.508362
-0.245117,-0.989258,0.01001,-28.45764,12.695312,-19.721985
-0.240234,-0.976807,0.020996,-35.209656,14.419555,-21.537779
-0.259033,-0.949219,0.036133,-38.078308,19.805908,-22.766111
-0.270752,-0.94043,0.030518,-39.642334,26.092527,-23.078917
-0.261719,-0.940186,0.013916,-42.587276,30.494688,-22.254942
-0.251953,-0.949707,-0.008301,-45.288082,31.311033,-20.26367
-0.255127,-0.967529,-0.025635,-47.966,29.518126,-18.241882
-0.251709,-0.967529,-0.021484,-50.315853,27.282713,-16.014099
-0.241943,-0.942627,-0.004883,-51.033016,26.084898,-13.290404
-0.250488,-0.925781,-0.014648,-50.308224,25.169371,-9.803772
-0.24292,-0.951416,-0.028076,-51.712032,22.171019,-5.142211
-0.224609,-0.956299,-0.033936,-54.801937,16.937256,-1.487732
-0.235107,-0.928711,-0.050781,-55.252071,10.108947,2.403259
-0.254639,-0.936279,-0.080078,-52.589413,4.486084,6.896972
