t,ax,ay,az,gx,gy,gz,acc_mag
1.0,-1.043457,0.050537,-0.110352,70.457458,-4.905701,27.297972,1.050492295603352
1.01,-1.099121,0.058594,-0.149902,72.08252,-5.41687,23.170469,1.1108424006496151
1.02,-1.168213,0.062256,-0.188721,73.410034,0.213623,20.210264,1.1849949530466364
1.03,-1.227051,0.0625,-0.205811,73.387146,12.863158,17.082214,1.2457602395011649
1.04,-1.201172,0.05957,-0.222412,72.58606,28.121946,11.825561,1.2230412324316788
1.05,-1.152344,0.056396,-0.238525,72.097778,44.296261,6.713867,1.1781219710950985
1.06,-1.123779,0.044922,-0.252197,71.899414,54.321285,5.249023,1.152605983731648
1.07,-1.053223,0.021973,-0.26001,72.029114,55.038448,4.928589,1.0850652978314255
1.08,-1.019775,0.003174,-0.262451,71.784973,50.140377,5.859375,1.0530107560238882
1.09,-1.056641,-0.002197,-0.267822,71.69342,39.253235,6.828308,1.0900567202554186
1.1,-1.072998,0.006592,-0.280029,72.685242,22.315977,6.065368,1.1089564478864804
1.11,-1.043213,0.020264,-0.273193,73.783875,5.531311,6.019592,1.0785816651111773
1.12,-0.991455,0.043945,-0.251221,72.250366,-7.141113,9.20105,1.0237314935523865
1.13,-0.959961,0.060791,-0.254883,67.878723,-16.479492,14.129638,0.9950809067060827
1.14,-0.941162,0.056152,-0.296143,64.247131,-25.154112,15.731811,0.9882507949893085
1.15,-1.005371,0.049072,-0.365967,64.682007,-33.164978,14.144897,1.0710325643574055
1.16,-1.114014,0.065674,-0.389893,66.02478,-43.830868,9.338379,1.1820984806356025
1.17,-1.182373,0.069092,-0.368652,66.368103,-52.642818,-0.770569,1.2404369845731784
1.18,-1.259521,0.0625,-0.342773,65.948486,-53.329464,-11.566161,1.3068254393644163
1.19,-1.267578,0.064697,-0.347168,64.193726,-47.126766,-20.03479,1.315851552462131
1.2,-1.202148,0.059326,-0.379639,58.692928,-35.392761,-27.221678,1.2620638488210492
1.21,-1.123291,0.089111,-0.393799,46.470638,-22.666929,-34.629822,1.193650322918316
1.22,-1.130371,0.148438,-0.373047,33.538818,-15.624999,-48.538204,1.1995567938592988
1.23,-1.118408,0.218262,-0.318848,29.602049,-21.942137,-71.617126,1.1832746098061937
1.24,-1.023438,0.272705,-0.263672,40.161129,-37.147522,-90.438835,1.0914743608775244
1.25,-0.928955,0.30127,-0.221436,60.493465,-49.079891,-92.39196,1.0013765061259425
1.26,-0.937744,0.31958,-0.23999,82.18383,-50.209042,-83.175652,1.0193578302225377
1.27,-1.036621,0.328857,-0.341309,99.876396,-40.809628,-80.062866,1.1398341359912854
1.28,-1.091553,0.336914,-0.30957,115.95916,-24.29199,-92.529289,1.1835677336363137
1.29,-1.27832,0.434082,-0.132324,142.234802,12.977599,-102.333061,1.3564803154119118
