t,ax,ay,az,gx,gy,gz,acc_mag
1.0,-0.080566,1.015869,-0.233398,0.190735,-0.25177,-0.572205,1.0454450401245394
1.01,-0.078369,1.01709,-0.235596,-0.022888,-0.297546,-0.495911,1.0469571354535008
1.02,-0.077148,1.013672,-0.228271,-0.030518,-0.274658,-0.465393,1.04191668905388
1.03,-0.078125,1.016357,-0.22876,0.160217,-0.312805,-0.50354,1.0447086697610966
1.04,-0.080322,1.013916,-0.231201,0.236511,-0.335693,-0.480652,1.0430393957761135
1.05,-0.07959,1.013672,-0.233154,0.267029,-0.259399,-0.480652,1.0431808469292367
1.06,-0.079346,1.014893,-0.233643,0.045776,-0.228882,-0.480652,1.044458060725274
1.07,-0.081055,1.013428,-0.231201,-0.160217,-0.289917,-0.457764,1.0426217562519977
1.08,-0.080078,1.014648,-0.227783,-0.015259,-0.198364,-0.38147,1.0429804145222479
1.09,-0.078613,1.015869,-0.226318,0.198364,-0.190735,-0.419617,1.0437383130143303
1.1,-0.079102,1.01416,-0.232666,0.297546,-0.228882,-0.480652,1.0435090318535818
1.11,-0.080078,1.012695,-0.235107,0.274658,-0.312805,-0.488281,1.0427075095912564
1.12,-0.079834,1.012695,-0.233887,0.205994,-0.274658,-0.396728,1.0424143894584341
1.13,-0.078613,1.013672,-0.233154,0.038147,-0.320435,-0.419617,1.0431067611078935
1.14,-0.078857,1.015137,-0.229248,-0.068665,-0.289917,-0.358582,1.0436839563402323
1.15,-0.079102,1.015381,-0.228516,0.076294,-0.244141,-0.358582,1.0437793175863375
1.16,-0.077881,1.013916,-0.230713,0.221252,-0.289917,-0.579834,1.0427461788882277
1.17,-0.078125,1.012939,-0.234131,0.328064,-0.335693,-0.595093,1.042576739864745
1.18,-0.079834,1.014893,-0.232422,0.259399,-0.343323,-0.488281,1.0442227995447142
1.19,-0.079102,1.013428,-0.231689,0.038147,-0.343323,-0.350952,1.0425800834031886
1.2,-0.079834,1.013672,-0.229248,-0.015259,-0.267029,-0.389099,1.0423334575096397
1.21,-0.07959,1.015137,-0.22876,0.106812,-0.244141,-0.427246,1.0436325188824846
1.22,-0.079346,1.015381,-0.231445,0.259399,-0.320435,-0.457764,1.0444429859508848
1.23,-0.080566,1.016602,-0.235596,0.37384,-0.312805,-0.526428,1.046649885098164
