t,ax,ay,az,gx,gy,gz,acc_mag
1.0,-0.413086,-0.931641,0.097168,-0.015259,-5.279541,0.457764,1.0237365952729247
1.01,-0.407715,-0.930664,0.097656,-0.274658,-5.065917,0.564575,1.020736839962681
1.02,-0.410889,-0.931641,0.098145,-0.144958,-4.348755,0.732422,1.0229453378489977
1.03,-0.411133,-0.930176,0.097412,-0.099182,-4.577637,0.839233,1.0216392868370912
1.04,-0.405273,-0.929443,0.097168,-0.320435,-5.332946,0.793457,1.0186030213002513
1.05,-0.400391,-0.933838,0.09668,-0.167847,-5.241394,0.671387,1.0206436133758934
1.06,-0.40625,-0.9375,0.101074,0.076294,-5.859375,0.1297,1.0267235586933807
1.07,-0.4104,-0.928467,0.112305,-0.213623,-8.728027,-1.083374,1.0213185316609115
1.08,-0.342773,-0.907959,0.094482,-1.945495,-7.476806,-1.472473,0.9750947254159464
1.09,-0.355469,-0.947266,0.046631,-1.63269,6.271362,3.166198,1.0128403303966524
1.1,-0.527344,-0.951904,0.096924,2.983093,10.0708,1.274109,1.092523309283605
1.11,-0.47168,-0.890137,0.120117,1.190186,-6.141662,-0.75531,1.0145215595826438
1.12,-0.388916,-0.927246,0.10083,-1.823425,-14.808654,1.747131,1.0105481128931963
1.13,-0.351807,-0.962158,0.10498,-0.228882,-8.19397,0.938415,1.0298237628900393
1.14,-0.398926,-0.932861,0.108154,2.029419,1.342773,0.137329,1.020327832862066
1.15,-0.440186,-0.92041,0.105957,1.800537,3.044128,0.656128,1.0257412775866046
1.16,-0.433838,-0.930908,0.10376,0.785828,-0.953674,0.717163,1.0322651075707248
1.17,-0.40918,-0.933838,0.099609,0.640869,-3.417969,0.511169,1.0244040391979132
1.18,-0.409424,-0.931885,0.098633,0.976562,-2.746582,0.442505,1.0226270745926884
1.19,-0.417969,-0.93042,0.103271,0.961304,-2.357483,0.244141,1.0252045458356103
1.2,-0.414307,-0.931152,0.104492,0.617981,-3.120422,0.015259,1.0245061812488006
1.21,-0.406982,-0.933105,0.102295,0.190735,-3.883362,-0.267029,1.0231244090402691
1.22,-0.405762,-0.934082,0.099609,0.045776,-4.005432,-0.87738,1.0232663075900623
1.23,-0.402832,-0.932617,0.101563,0.152588,-3.761291,-1.693725,1.0209618660273263
1.24,-0.404297,-0.932129,0.103516,0.0,-3.593445,-2.365112,1.0212913879525274
1.25,-0.40625,-0.92749,0.10083,0.022888,-3.799438,-2.685547,1.017567418650971
1.26,-0.405518,-0.928955,0.102295,-0.061035,-3.944397,-2.807617,1.0187573348810794
1.27,-0.405273,-0.92749,0.099854,-0.114441,-3.730774,-2.983093,1.0170814745854926
1.28,-0.409668,-0.929199,0.098633,-0.114441,-3.433227,-2.929687,1.0202779623779004
1.29,-0.406982,-0.932129,0.099854,0.038147,-3.250122,-2.861023,1.0219929756514963
1.3,-0.406006,-0.931885,0.095947,0.152588,-2.754211,-2.464294,1.021007518126091
1.31,-0.406738,-0.931152,0.096924,-0.007629,-2.220154,-2.13623,1.0207223469308389
1.32,-0.403809,-0.929932,0.098389,0.007629,-1.480102,-2.326965,1.0185851110368735
1.33,-0.404541,-0.927979,0.095459,0.25177,-0.831604,-2.296448,1.0168140763202485
1.34,-0.405762,-0.925781,0.09375,0.328064,-0.587463,-2.26593,1.0151366031746663
1.35,-0.406006,-0.926025,0.093506,0.305176,-0.404358,-2.243042,1.0154341656143937
1.36,-0.404297,-0.923828,0.092773,0.282288,-0.106812,-2.204895,1.0126801406772032
1.37,-0.40625,-0.923584,0.09082,0.274658,0.305176,-2.059937,1.0130620612558738
1.38,-0.407715,-0.924561,0.094238,0.282288,0.366211,-1.899719,1.0148523856157603
1.39,-0.40625,-0.927246,0.097168,0.099182,0.198364,-1.945495,1.016988607232156
1.4,-0.404053,-0.928955,0.098389,0.053406,0.198364,-1.991272,1.0177900638908792
1.41,-0.405518,-0.929688,0.098389,-0.068665,0.37384,-2.059937,1.0190412263441553
1.42,-0.408936,-0.930176,0.098389,-0.068665,0.50354,-2.113342,1.0208508404233207
1.43,-0.407715,-0.930664,0.101563,-0.015259,0.50354,-2.098083,1.0211180368057358
1.44,-0.406494,-0.93042,0.106201,-0.038147,0.541687,-2.250671,1.020880698630844
1.45,-0.405273,-0.931152,0.105957,0.221252,1.152039,-2.334595,1.0210372850596592
1.46,-0.4104,-0.928711,0.102539,0.411987,1.770019,-2.235413,1.0205128750006047
1.47,-0.41333,-0.926758,0.102539,0.564575,1.861572,-2.281189,1.019919764483952
1.48,-0.415039,-0.927002,0.104492,0.534058,1.823425,-2.037048,1.0210331324638784
1.49,-0.414551,-0.928467,0.102783,0.694275,1.678467,-1.556396,1.0219920972194454
1.5,-0.414063,-0.932861,0.100586,0.747681,1.602173,-1.411438,1.025570746797119
1.51,-0.414795,-0.928223,0.101318,0.686645,1.533508,-1.289368,1.021723136117608
1.52,-0.41333,-0.924316,0.102783,0.656128,1.457214,-1.182556,1.017725946335751
1.53,-0.416504,-0.924316,0.104492,0.968933,1.426697,-1.052856,1.0191929296929017
1.54,-0.416016,-0.919678,0.104248,0.938415,1.037598,-0.854492,1.01476331301639
1.55,-0.412354,-0.921875,0.10083,0.732422,0.671387,-0.671387,1.0149167580846226
1.56,-0.407715,-0.930664,0.099121,0.976562,1.182556,-0.785828,1.0208780410813036
1.57,-0.412842,-0.934082,0.094727,1.113892,2.227783,-0.87738,1.025631953586178
1.58,-0.42334,-0.935303,0.094727,1.083374,2.449036,-0.999451,1.0310100202898127
1.59,-0.426025,-0.930908,0.093506,1.068115,1.724243,-1.052856,1.0280225567199388
1.6,-0.421387,-0.929688,0.094971,0.808716,0.495911,-0.938415,1.025137196649307
1.61,-0.417725,-0.93042,0.098389,0.556946,-0.198364,-0.999451,1.0246247836871798
1.62,-0.416016,-0.928955,0.101563,0.556946,-0.358582,-0.87738,1.0229084745225254
1.63,-0.414551,-0.928955,0.101807,0.701904,-0.289917,-0.740051,1.0223378056567212
1.64,-0.415039,-0.92627,0.101807,0.656128,-0.404358,-0.770569,1.0200971275667823
1.65,-0.412842,-0.929443,0.10083,0.640869,-0.785828,-0.75531,1.0219929041402391
1.66,-0.413086,-0.929199,0.100098,0.480652,-1.052856,-0.701904,1.021797648559146
1.67,-0.414307,-0.927979,0.104004,0.579834,-1.243591,-0.717163,1.021573368244298
1.68,-0.412598,-0.930176,0.105469,0.663757,-1.571655,-0.610352,1.0230289392490322
1.69,-0.413086,-0.930664,0.102539,0.579834,-1.63269,-0.602722,1.0233717656907484
1.7,-0.413574,-0.929443,0.106201,0.50354,-1.800537,-0.671387,1.022832535719313
1.71,-0.411377,-0.929932,0.101074,0.526428,-2.059937,-0.564575,1.0218710849363535
1.72,-0.410889,-0.928711,0.100586,0.62561,-2.296448,-0.648498,1.0205152792770913
1.73,-0.407959,-0.929688,0.099854,0.617981,-2.250671,-0.75531,1.0201574115502958
1.74,-0.407227,-0.932617,0.10083,0.732422,-1.899719,-0.869751,1.0226314033502004
1.75,-0.408203,-0.928467,0.098633,0.923157,-1.670837,-0.961304,1.019023615029112
1.76,-0.409668,-0.927246,0.098389,0.961304,-1.678467,-0.976562,1.018476023311791
1.77,-0.407715,-0.927002,0.097168,0.938415,-1.716614,-0.808716,1.0173523723140374
1.78,-0.405029,-0.931641,0.09668,0.846863,-1.914978,-0.709534,1.0204658084041818
1.79,-0.404785,-0.929443,0.095459,0.816345,-2.075195,-0.717163,1.0182473212117968
1.8,-0.401367,-0.928467,0.093018,0.671387,-2.082825,-0.808716,1.015774968731756
1.81,-0.398682,-0.931641,0.095215,0.450134,-1.922607,-0.854492,1.017825223813008
