t,ax,ay,az,gx,gy,gz,acc_mag
1.0,-0.089111,-0.586182,0.821777,-0.732422,0.450134,-1.121521,1.013344731655521
1.01,-0.091797,-0.584961,0.82251,-0.534058,-0.25177,-0.961304,1.0134736113140785
1.02,-0.085693,-0.58374,0.823975,-0.62561,-0.640869,-0.770569,1.0134251222828454
1.03,-0.082764,-0.584229,0.827637,-0.892639,0.030518,-0.38147,1.016443017540088
1.04,-0.080322,-0.58667,0.825195,-0.991821,0.976562,-0.236511,1.0156673178797277
1.05,-0.081055,-0.589355,0.822021,-1.144409,1.487732,-0.205994,1.0147057472444905
1.06,-0.085938,-0.588867,0.821289,-1.220703,1.319885,-0.305176,1.0142313863483028
1.07,-0.087646,-0.588867,0.819336,-1.037598,0.595093,-0.50354,1.0127969420871095
1.08,-0.089844,-0.587402,0.817383,-1.060486,-0.213623,-0.740051,1.0105582727527394
1.09,-0.090576,-0.587891,0.814941,-0.892639,-0.610352,-0.740051,1.0089344245975553
1.1,-0.089844,-0.591309,0.817139,-0.831604,-0.37384,-0.63324,1.0126373601334289
1.11,-0.089111,-0.596191,0.814941,-0.801086,0.053406,-0.404358,1.013663313079348
1.12,-0.087158,-0.598633,0.81543,-0.816345,0.526428,-0.137329,1.0153246133887426
1.13,-0.087646,-0.595215,0.81665,-0.938415,0.907898,0.114441,1.0143371924764466
1.14,-0.089355,-0.591797,0.816406,-0.846863,1.037598,0.053406,1.0122878849764034
1.15,-0.092285,-0.587646,0.81543,-0.671387,0.686645,-0.198364,1.009341581151297
1.16,-0.095703,-0.585693,0.811035,-0.816345,0.083923,-0.602722,1.0049741915507084
1.17,-0.097656,-0.586182,0.809814,-0.747681,-0.144958,-0.595093,1.0044624164477236
1.18,-0.094482,-0.59082,0.811035,-0.938415,-0.152588,-0.297546,1.007855590820927
1.19,-0.09082,-0.593994,0.813965,-1.220703,0.205994,-0.015259,1.0117391786725471
1.2,-0.08667,-0.590576,0.816162,-1.449585,0.862122,0.312805,1.0111439615208113
1.21,-0.085938,-0.59082,0.819336,-1.647949,1.564026,0.556946,1.0137874990055855
1.22,-0.082275,-0.593994,0.818604,-1.708984,1.930237,0.656128,1.0147465479010018
1.23,-0.080811,-0.591064,0.819824,-1.701355,1.983642,0.411987,1.0139025894004807
1.24,-0.08252,-0.592773,0.813965,-1.480102,1.556396,-0.160217,1.0103110417856473
1.25,-0.085449,-0.595215,0.813477,-1.060486,0.999451,-0.396728,1.0115963905407137
1.26,-0.088379,-0.593262,0.812256,-0.717163,0.350952,-0.62561,1.0097180090604505
1.27,-0.090332,-0.593506,0.806152,-0.442505,-0.015259,-0.862122,1.005131976092692
1.28,-0.091064,-0.5979,0.807373,-0.587463,-0.007629,-0.579834,1.0087756059823216
1.29,-0.090332,-0.597168,0.810547,-0.541687,0.488281,-0.419617,1.0108194347444057
1.3,-0.091064,-0.598877,0.81543,-0.679016,1.13678,-0.404358,1.0158112020080305
1.31,-0.093262,-0.599365,0.814697,-0.694275,1.548767,-0.480652,1.0157102961366495
1.32,-0.096924,-0.598145,0.817871,-0.846863,1.373291,-0.686645,1.0178824467697634
1.33,-0.100342,-0.596191,0.815674,-0.892639,0.724792,-0.762939,1.0153010882102904
1.34,-0.102539,-0.593994,0.813232,-0.686645,0.091553,-0.823975,1.0122694327010966
1.35,-0.099854,-0.596924,0.814453,-0.62561,-0.37384,-0.846863,1.0147032927417747
1.36,-0.095215,-0.596191,0.812256,-0.457764,-0.518799,-0.808716,1.012061961661439
1.37,-0.090576,-0.598145,0.814453,-0.473022,-0.198364,-0.923157,1.0145516950900038
1.38,-0.090332,-0.598877,0.813721,-0.648498,0.75531,-0.999451,1.014374387094824
1.39,-0.092529,-0.598389,0.815674,-0.976562,1.502991,-0.801086,1.0158519013310947
