t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:00:06.160000,0.223633,-0.972656,0.057861,-2.952575,-28.70941,22.117613,0.9997096120104078
0 days 00:00:06.170000,0.259033,-0.99707,0.041016,-19.432068,-2.548218,17.059326,1.0309844772085563
0 days 00:00:06.180000,0.224854,-0.97998,0.062256,-6.652832,-23.490904,20.278929,1.0073708012703169
0 days 00:00:06.190000,0.225586,-0.98291,0.064209,-8.224487,-21.583555,19.241333,1.0105067576107545
0 days 00:00:06.200000,0.226807,-0.985107,0.063721,-9.803772,-20.118711,18.531799,1.0128857697386215
0 days 00:00:06.210000,0.227295,-0.984863,0.065674,-11.116027,-18.814087,17.829895,1.0128826289704056
0 days 00:00:06.220000,0.228516,-0.98291,0.063965,-12.145995,-17.410278,17.303467,1.0111494209962244
0 days 00:00:06.230000,0.230469,-0.97876,0.063477,-13.328551,-15.747069,16.860962,1.007529864118181
0 days 00:00:06.240000,0.236328,-0.977295,0.057129,-14.656066,-13.793944,16.601563,1.0070849831320094
0 days 00:00:06.250000,0.239502,-0.975342,0.052246,-15.945434,-11.596679,16.609192,1.0056753300563757
0 days 00:00:06.260000,0.241699,-0.97876,0.047119,-17.26532,-9.086609,16.960144,1.0092619800438338
0 days 00:00:06.270000,0.250732,-0.98877,0.041504,-18.547058,-5.989074,17.105103,1.0209090217742227
0 days 00:00:06.280000,0.162598,-0.901855,0.062744,12.924193,-44.860836,22.331236,0.9185408864960775
0 days 00:00:06.290000,0.223389,-0.980225,0.061768,-4.806519,-25.848387,21.080015,1.007253186527598
0 days 00:00:06.300000,0.15625,-0.904785,0.066406,14.617919,-44.387814,21.095274,0.9205757522121685
0 days 00:00:06.310000,0.075928,-0.987549,0.069824,27.282713,9.536743,-4.974365,0.9929216885338944
0 days 00:00:06.320000,0.14209,-0.914307,0.074707,17.158508,-41.389462,18.440247,0.9282930540502821
0 days 00:00:06.330000,0.260986,-1.000977,0.04541,-20.202635,1.281738,17.349243,1.035437450947666
0 days 00:00:06.340000,0.179688,-0.986572,0.028564,59.631344,-1.525879,-10.032654,1.0032088469625853
0 days 00:00:06.350000,0.164551,-1.010986,0.014404,55.824276,3.494262,-9.529114,1.0243911357547955
0 days 00:00:06.360000,0.140869,-1.019531,0.028076,48.851009,4.371643,-10.459899,1.0295998236683999
0 days 00:00:06.370000,0.115234,-0.995605,0.049561,39.93988,3.715515,-12.756347,1.0034761997685844
0 days 00:00:06.380000,0.103516,-0.993652,0.061768,37.010193,4.402161,-13.290404,1.000937133482418
0 days 00:00:06.390000,0.120361,-0.998779,0.078369,36.956787,6.889343,-12.992858,1.0090530022367508
0 days 00:00:06.400000,0.114502,-0.990234,0.07373,36.064148,12.802123,-12.931823,0.9995549988169735
0 days 00:00:06.410000,0.11792,-0.997559,0.058838,34.980774,19.096375,-13.366698,1.0062261153065946
0 days 00:00:06.420000,0.120361,-0.99707,0.047607,34.080505,23.208616,-12.832641,1.0054361151609783
0 days 00:00:06.430000,0.150635,-0.9104,0.071533,15.953063,-43.243404,19.859314,0.9255463431476567
0 days 00:00:06.440000,0.118896,-0.981445,0.046387,32.791138,24.505613,-11.596679,0.9897081896245984
0 days 00:00:06.450000,0.092041,-0.980469,0.061279,29.167173,17.50946,-7.507324,0.9866844082496693
0 days 00:00:06.460000,0.071533,-0.98999,0.082764,25.642393,-0.099182,-1.594543,0.996015587169699
0 days 00:00:06.470000,0.07959,-0.994141,0.093262,24.658201,-9.95636,2.288818,1.001672948933433
0 days 00:00:06.480000,0.09375,-1.006104,0.102783,24.780272,-18.287659,5.249023,1.0156764575419677
0 days 00:00:06.490000,0.117432,-1.005859,0.102539,25.024412,-24.513243,7.759094,1.0178687779011595
0 days 00:00:06.500000,0.13208,-0.979248,0.093262,23.841856,-28.297422,10.108947,0.9925067115883902
0 days 00:00:06.510000,0.134521,-0.947998,0.081543,21.90399,-30.769346,11.764525,0.9609606486709016
0 days 00:00:06.520000,0.134521,-0.930176,0.080078,20.462034,-33.180237,13.313293,0.9432580646360783
0 days 00:00:06.530000,0.134766,-0.922607,0.076172,19.355774,-35.957336,14.961242,0.9355039950684336
0 days 00:00:06.540000,0.137207,-0.917236,0.074707,18.119812,-38.825989,16.746521,0.9304454720154213
0 days 00:00:06.550000,0.111572,-0.973145,0.053955,30.921934,22.682188,-9.742737,0.9810049154994077
0 days 00:00:06.560000,0.182129,-0.990967,0.0625,61.790462,-8.842468,-11.306762,1.0095012717822598
