t,ax,ay,az,gx,gy,gz,acc_mag
1.0,0.788574,0.433105,0.050293,-21.659849,-3.852844,-21.133421,0.9010872767662409
1.01,0.794678,0.407471,-0.087402,-16.235352,-5.53894,-20.080564,0.897320928725615
1.02,0.867432,0.291992,-0.229248,-4.142761,9.82666,-19.004822,0.94353179500852
1.03,0.98584,0.129395,-0.283936,-1.548767,26.603697,-20.843504,1.034042176954596
1.04,1.041992,0.054199,-0.223633,-18.859863,34.545898,-31.707762,1.0670972675225066
1.05,0.986328,0.126465,-0.132813,-44.540401,28.808592,-43.327328,1.003232581597109
1.06,0.933838,0.188477,-0.032227,-56.663509,16.792297,-42.404171,0.9532132863645995
1.07,0.871338,0.165771,0.039551,-60.676571,8.430481,-35.163879,0.8878480817606128
1.08,0.806885,0.154053,0.015381,-66.360474,2.746582,-34.65271,0.8216034963381058
1.09,0.746826,0.183105,-0.046875,-72.891235,3.501892,-40.641781,0.7703724949178806
1.1,0.719482,0.25415,-0.154785,-79.223633,10.154723,-46.32568,0.7785916561645134
1.11,0.762939,0.339355,-0.256104,-78.857422,19.53125,-45.82214,0.8733996751556529
1.12,0.848877,0.41626,-0.310791,-72.70813,29.403685,-35.453796,0.995216355578022
1.13,0.931885,0.492676,-0.303955,-59.402462,34.553528,-21.057127,1.0970542084263657
1.14,0.977783,0.532471,-0.256348,-43.243404,29.411314,-9.819031,1.1424969400545457
1.15,0.97998,0.555908,-0.205811,-30.540464,18.432617,-2.655029,1.1453177168737938
1.16,0.96582,0.592041,-0.176514,-23.490904,8.544922,-1.304626,1.1465068731922194
1.17,0.983398,0.623779,-0.171631,-16.479492,0.732422,-3.799438,1.1771274643835306
1.18,1.009521,0.61084,-0.191895,-7.324218,-8.140564,-5.0354,1.1954421132225515
1.19,0.996094,0.563965,-0.225098,1.037598,-19.14978,-2.487183,1.1665885682900377
1.2,0.941895,0.514648,-0.255615,6.17218,-29.70886,1.808166,1.1033439097371227
1.21,0.865967,0.474854,-0.281494,8.087158,-36.659241,4.928589,1.0269488976774843
1.22,0.786621,0.45752,-0.300537,8.224487,-38.719177,5.485534,0.9583421291010846
1.23,0.753418,0.455322,-0.311768,8.071899,-35.78949,4.760742,0.9338929768619101
1.24,0.750244,0.447998,-0.325928,8.132935,-28.923033,6.240844,0.9326292557731609
1.25,0.751221,0.444092,-0.327881,8.06427,-22.727964,8.209229,0.9322320770419777
1.26,0.764893,0.427979,-0.325928,8.964539,-19.561768,8.895874,0.9351237282167532
1.27,0.789063,0.39502,-0.314941,9.552002,-17.570496,9.536743,0.9369359913302509
1.28,0.811279,0.368164,-0.290527,8.529663,-16.677856,10.093688,0.9370828589116332
1.29,0.828125,0.344727,-0.290771,6.317138,-16.75415,10.002136,0.9429610249607351
1.3,0.830078,0.333984,-0.301514,3.051758,-16.487122,10.292052,0.9441850933667615
1.31,0.816162,0.352295,-0.294189,-0.457764,-15.045165,9.407043,0.9363649635638873
1.32,0.801025,0.394043,-0.289551,-3.837585,-12.496947,8.010864,0.9384832007420271
1.33,0.806152,0.415771,-0.295654,-4.753113,-7.881164,7.965087,0.9540219385637838
1.34,0.823975,0.402588,-0.291992,-3.791809,-4.402161,8.377075,0.9624298553312859
1.35,0.81958,0.379639,-0.292725,-3.295898,-4.043579,8.712769,0.9494867415324977
1.36,0.798828,0.364014,-0.299072,-3.585815,-4.547119,8.209229,0.9274030552914951
1.37,0.793701,0.348389,-0.304443,-4.638672,-4.417419,7.499694,0.9187065434462737
1.38,0.800781,0.345459,-0.293701,-6.568908,-3.501892,7.164001,0.92024584108976
1.39,0.79834,0.364502,-0.278076,-9.223938,-3.479004,6.118774,0.9206164920204287
1.4,0.775635,0.410645,-0.27417,-11.825561,-3.219604,3.562927,0.919460797505799
1.41,0.766113,0.450439,-0.262695,-12.443542,-1.594543,1.983642,0.9267324773174835
1.42,0.770752,0.466553,-0.262939,-10.559081,1.144409,2.342224,0.9385452919459987
1.43,0.769531,0.471436,-0.266357,-7.858276,4.188538,2.067566,0.9409441606737352
1.44,0.776123,0.474609,-0.255127,-5.386352,5.607605,0.938415,0.9448335303845857
1.45,0.826416,0.463135,-0.234375,-2.868652,5.775451,0.335693,0.9759042339830277
1.46,0.884277,0.457764,-0.215088,-1.525879,3.990173,1.083374,1.018703362205603
1.47,0.89624,0.485107,-0.209229,-1.731872,-2.082825,1.907349,1.0403613379446586
1.48,0.872803,0.512451,-0.2146,-1.121521,-7.67517,2.540588,1.0346227642044226
1.49,0.848633,0.509521,-0.207275,2.189636,-10.261535,3.40271,1.0113122879481886
1.5,0.82959,0.481445,-0.199463,5.729675,-11.016845,3.875732,0.9796909433561178
1.51,0.810547,0.456543,-0.204102,7.530212,-9.910583,3.753662,0.9524051535255361
1.52,0.79126,0.447998,-0.212646,8.209229,-7.286071,3.52478,0.9338163186194595
1.53,0.778809,0.449707,-0.227295,8.201599,-3.852844,3.40271,0.9276005936581757
1.54,0.795166,0.464111,-0.216797,8.041382,-0.534058,3.387451,0.9458799749894276
1.55,0.84082,0.490234,-0.197021,8.529663,0.213623,3.181457,0.9930382276614531
1.56,0.879883,0.518799,-0.20166,9.681702,-2.593994,3.295898,1.0411595707143069
1.57,0.898193,0.51416,-0.208008,13.069152,-7.362365,3.387451,1.055641273782434
1.58,0.9021,0.486816,-0.20752,16.75415,-12.443542,4.119873,1.045867476430929
1.59,0.897705,0.468506,-0.214355,19.264221,-16.540527,5.149841,1.0350459917733124
