t,ax,ay,az,gx,gy,gz,acc_mag
1.0,0.034912,-1.019531,0.036133,3.448486,-12.100219,1.686096,1.0207682897670753
1.01,0.031006,-1.014893,0.025391,2.471924,-10.910033,2.197266,1.0156839451158024
1.02,0.026367,-1.008545,0.015625,1.998901,-9.857178,2.059937,1.009010592778391
1.03,0.021729,-1.00293,0.009033,2.5177,-7.850646,1.174927,1.0032060254155177
1.04,0.019287,-1.003662,0.005615,2.838135,-4.745483,-0.091553,1.003863002026671
1.05,0.027344,-1.003174,0.000732,2.540588,-2.311707,-0.839233,1.0035468621026127
1.06,0.040527,-0.998047,0.000244,1.670837,-1.495361,-0.953674,0.9988695167408004
1.07,0.049805,-0.99292,0.002197,1.029968,-2.281189,-0.724792,0.9941707555716977
1.08,0.05249,-0.996338,0.003906,0.991821,-3.295898,-0.221252,0.9977273511235422
1.09,0.050781,-1.003418,0.008057,0.671387,-3.288269,0.450134,1.0047344464752863
1.1,0.049561,-1.01123,0.006348,0.152588,-2.059937,0.892639,1.012463679706586
1.11,0.047363,-1.01123,0.004639,-0.450134,0.114441,0.549316,1.0123491922207475
1.12,0.045654,-1.00293,0.002441,-1.419067,1.251221,-0.228882,1.0039715290270936
1.13,0.047607,-0.99292,-0.005371,-1.983642,1.075745,-1.068115,0.9940751483112331
1.14,0.049561,-0.985352,-0.01123,-1.792908,-0.091553,-1.708984,0.9866615273359958
1.15,0.051514,-0.987305,-0.010498,-1.075745,-1.434326,-2.02179,0.9887037287403138
1.16,0.051758,-0.995117,-0.007568,-0.083923,-2.159119,-2.26593,0.9964908473623829
1.17,0.055908,-1.002441,-0.004395,0.1297,-2.723694,-2.067566,1.0040084556267441
1.18,0.055908,-1.004639,-0.005127,-0.213623,-4.135132,-1.678467,1.006206495165878
1.19,0.058105,-1.002441,-0.005371,-0.480652,-6.378173,-1.312256,1.0041379373109054
1.2,0.061768,-1.000244,-0.004883,-0.335693,-9.376526,-1.312256,1.0021612590042581
1.21,0.061279,-0.995605,-0.00708,0.0,-13.038634,-1.502991,0.9975141895060942
1.22,0.066162,-0.990723,-0.006836,0.732422,-17.120361,-1.800537,0.9929532737591432
1.23,0.076172,-0.998047,0.003662,1.754761,-21.186827,-1.914978,1.0009562418192914
1.24,0.075439,-1.006348,0.011963,2.02179,-25.741575,-1.228333,1.0092425145593105
1.25,0.070068,-1.004395,0.017578,1.609802,-30.731199,0.259399,1.006989486902917
