t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:01:29.080000,0.160645,0.996338,-0.138428,6.637573,17.028809,-2.624511,1.0186552593753198
0 days 00:01:29.090000,0.169678,1.003418,-0.131348,7.17926,15.86151,-6.469726,1.026104577278554
0 days 00:01:29.100000,0.161621,0.998291,-0.135498,6.92749,18.035889,-2.250671,1.0203264067571711
0 days 00:01:29.110000,0.192627,0.990723,-0.134521,2.822876,16.036987,-2.059937,1.0182009248173958
0 days 00:01:29.120000,0.160889,0.991455,-0.134521,6.889343,19.035339,-1.953125,1.0133924150036846
0 days 00:01:29.130000,0.146484,1.008301,-0.137695,8.728027,17.105103,-4.386902,1.0281480350037147
0 days 00:01:29.140000,0.188721,0.988037,-0.16626,1.022339,7.041931,-0.053406,1.0195465250835785
0 days 00:01:29.150000,0.189453,0.989746,-0.165283,1.12915,8.346558,-0.068665,1.0211797362922943
0 days 00:01:29.160000,0.190186,0.989746,-0.162354,1.12915,9.58252,-0.167847,1.0208460610826688
0 days 00:01:29.170000,0.188721,0.98999,-0.1604,1.335144,10.70404,-0.366211,1.020501825545158
0 days 00:01:29.180000,0.193359,0.991699,-0.158936,1.403808,11.734008,-0.457764,1.022797761817066
0 days 00:01:29.190000,0.194336,0.992432,-0.158691,1.457214,12.603759,-0.549316,1.0236555030873424
0 days 00:01:29.200000,0.193359,0.989746,-0.153564,1.480102,13.305663,-0.747681,1.020081736672606
0 days 00:01:29.210000,0.196533,0.989746,-0.148682,1.518249,13.824462,-1.091003,1.019965049268356
0 days 00:01:29.220000,0.196289,0.989502,-0.144775,1.663208,14.35852,-1.312256,1.0191189234579054
0 days 00:01:29.230000,0.161133,0.99707,-0.136963,6.904602,18.722534,-1.960754,1.019250357840506
0 days 00:01:29.240000,0.195557,0.990723,-0.143311,1.815796,14.648437,-1.579285,1.019957178365347
0 days 00:01:29.250000,0.192627,0.992188,-0.135742,2.418518,15.518188,-1.976013,1.01978825205873
0 days 00:01:29.260000,0.188477,0.991211,-0.133057,3.112793,16.441345,-2.204895,1.0177067314796537
0 days 00:01:29.270000,0.185547,0.988525,-0.133301,3.540039,16.76178,-2.326965,1.0145829297967712
0 days 00:01:29.280000,0.180908,0.982422,-0.133057,3.921509,17.059326,-2.418518,1.0077623012382433
0 days 00:01:29.290000,0.178711,0.982178,-0.129883,4.310608,17.494202,-2.571106,1.0067178546613744
0 days 00:01:29.300000,0.177246,0.981201,-0.130615,4.798889,18.028259,-2.662658,1.0056002312758285
0 days 00:01:29.310000,0.171631,0.984863,-0.129883,5.15747,18.417358,-2.616882,1.0081080907417617
0 days 00:01:29.320000,0.168701,0.987061,-0.127686,5.630493,18.844604,-2.388,1.0094816292127362
0 days 00:01:29.330000,0.167725,0.985596,-0.129395,6.065368,19.203186,-2.075195,1.008104268846234
0 days 00:01:29.340000,0.164795,0.986572,-0.131836,6.568908,19.248962,-1.991272,1.0088916860124282
0 days 00:01:29.350000,0.193604,0.993164,-0.140381,2.105713,15.068053,-1.831055,1.021549834747674
0 days 00:01:29.360000,0.14917,1.012695,-0.136963,8.728027,16.609192,-4.272461,1.0327447483739627
0 days 00:01:29.370000,0.151611,1.015869,-0.138672,8.628845,16.036987,-4.249573,1.0364389244263261
0 days 00:01:29.380000,0.153076,1.021484,-0.136963,8.460999,15.426635,-4.341125,1.041931229688889
0 days 00:01:29.390000,0.152832,1.013672,-0.132568,3.570556,11.375426,-5.485534,1.033664751470224
0 days 00:01:29.400000,0.155518,1.016357,-0.130127,3.242492,9.95636,-5.66101,1.0363881685459364
0 days 00:01:29.410000,0.157715,1.020996,-0.125,2.967834,8.621216,-5.752563,1.0406401170630508
0 days 00:01:29.420000,0.161133,1.023926,-0.121826,2.89917,7.514953,-5.813598,1.04366176103228
0 days 00:01:29.430000,0.160645,1.02417,-0.119141,2.807617,6.385803,-5.706787,1.0435159715145714
0 days 00:01:29.440000,0.161133,1.023438,-0.118408,2.914428,5.432128,-5.302429,1.0427893545663955
0 days 00:01:29.450000,0.166748,1.02002,-0.116943,2.89917,4.966736,-4.852295,1.0401544890798673
0 days 00:01:29.460000,0.17041,1.01416,-0.114014,2.815246,4.608154,-4.547119,1.0346783393383665
0 days 00:01:29.470000,0.169434,1.01123,-0.111328,2.693176,4.188538,-4.150391,1.031352469740583
0 days 00:01:29.480000,0.171875,1.004395,-0.111084,2.76947,3.852844,-3.814697,1.0250317003419942
0 days 00:01:29.490000,0.157959,1.013184,-0.13501,3.929138,12.634276,-5.241394,1.0342729637948582
0 days 00:01:29.500000,0.173096,0.99585,-0.109863,2.784729,3.578186,-3.555298,1.0167346391684509
0 days 00:01:29.510000,0.176758,0.987549,-0.106934,2.738952,2.906799,-2.990722,1.008925814081987
0 days 00:01:29.520000,0.177246,0.984375,-0.104492,2.822876,2.76947,-2.784729,1.0056484789453022
0 days 00:01:29.530000,0.178223,0.982666,-0.104248,2.655029,2.380371,-2.761841,1.004123274697385
0 days 00:01:29.540000,0.179199,0.983154,-0.103027,2.311707,1.571655,-2.960205,1.0046485116925221
0 days 00:01:29.550000,0.179932,0.980469,-0.101563,2.14386,0.572205,-3.173828,1.0020030077569628
0 days 00:01:29.560000,0.186523,0.982178,-0.102539,1.693725,-0.480652,-3.463745,1.0049769647778004
0 days 00:01:29.570000,0.187012,0.980957,-0.103027,1.487732,-1.495361,-3.875732,1.0039246419537673
0 days 00:01:29.580000,0.185059,0.982666,-0.099854,1.350403,-3.005981,-4.104614,1.0049129924291953
0 days 00:01:29.590000,0.188477,0.989258,-0.101074,0.991821,-4.150391,-4.333496,1.0121121101780177
0 days 00:01:29.600000,0.185547,0.992432,-0.099365,0.770569,-5.462646,-4.371643,1.014505971918352
0 days 00:01:29.610000,0.174072,0.993164,-0.107666,2.868652,3.234863,-3.318786,1.0140353838185332
0 days 00:01:29.620000,0.159668,1.012207,-0.136963,4.40979,13.412475,-4.981995,1.0338354532719412
0 days 00:01:29.630000,0.184326,0.990723,-0.097412,0.656128,-7.125854,-4.379272,1.012421470904781
0 days 00:01:29.640000,0.161377,1.006592,-0.138672,4.981995,13.313293,-4.547119,1.0288342500991108
0 days 00:01:29.650000,0.151611,1.02124,-0.137451,8.209229,14.968871,-4.341125,1.0415420348320081
0 days 00:01:29.660000,0.151855,1.02002,-0.137207,8.201599,14.762877,-4.310608,1.040349221306961
0 days 00:01:29.670000,0.151611,1.018799,-0.134521,8.148193,14.511107,-4.28009,1.0387652271630006
0 days 00:01:29.680000,0.150146,1.017334,-0.133545,8.125305,14.122008,-3.974914,1.0369891782931007
0 days 00:01:29.690000,0.14917,1.018066,-0.131592,8.125305,13.809203,-3.639221,1.0373169832408993
0 days 00:01:29.700000,0.152344,1.011719,-0.132568,8.056641,13.504027,-3.448486,1.0316774224150687
0 days 00:01:29.710000,0.161377,1.007568,-0.141113,4.78363,13.542174,-4.615784,1.030120715994975
0 days 00:01:29.720000,0.153076,1.005371,-0.134766,8.132935,13.313293,-3.089905,1.0258484216359647
0 days 00:01:29.730000,0.15625,1.007324,-0.131104,7.980346,13.076781,-3.02124,1.027766492104116
0 days 00:01:29.740000,0.157959,1.003174,-0.130615,7.705688,12.794494,-3.158569,1.0238991152364574
0 days 00:01:29.750000,0.160889,1.000488,-0.129639,7.476806,12.519835,-3.517151,1.021600596508244
0 days 00:01:29.760000,0.151611,1.006592,-0.133057,8.094788,13.351439,-3.234863,1.0266048485342352
0 days 00:01:29.770000,0.161621,0.999756,-0.12915,7.141113,11.665343,-4.272461,1.0209373779409783
