t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:00:59.430000,0.169189,0.990479,-0.173096,0.25177,-0.823975,-0.190735,1.0196253196042162
0 days 00:00:59.440000,0.168701,0.990479,-0.174316,0.244141,-0.869751,-0.099182,1.0197522957551997
0 days 00:00:59.450000,0.169922,0.990967,-0.175537,0.144958,-0.747681,-0.091553,1.0206381922806926
0 days 00:00:59.460000,0.175781,0.992188,-0.179199,0.213623,-1.411438,-0.236511,1.023449201917711
0 days 00:00:59.470000,0.171143,0.991455,-0.17627,0.114441,-0.350952,-0.38147,1.0214421453875888
0 days 00:00:59.480000,0.171387,0.992432,-0.174316,0.106812,-0.511169,-0.221252,1.0220962998900835
0 days 00:00:59.490000,0.169434,0.993164,-0.167236,-0.083923,-0.160217,-0.457764,1.021298433832149
0 days 00:00:59.500000,0.172607,0.99585,-0.169189,-0.190735,-0.328064,-0.541687,1.0247611022428593
0 days 00:00:59.510000,0.174072,0.996582,-0.171631,-0.282288,-0.465393,-0.579834,1.026125696037771
0 days 00:00:59.520000,0.171387,0.996338,-0.173096,-0.320435,-0.572205,-0.640869,1.0256827673452449
0 days 00:00:59.530000,0.168701,0.991943,-0.169189,0.061035,-0.007629,-0.37384,1.0203116486500583
0 days 00:00:59.540000,0.172852,0.993408,-0.17749,-0.213623,-0.427246,-0.694275,1.0238359089561178
0 days 00:00:59.550000,0.171387,0.993652,-0.178711,-0.091553,-0.38147,-0.572205,1.02403877973151
0 days 00:00:59.560000,0.17041,0.991699,-0.177246,0.068665,-0.328064,-0.411987,1.0217253149535837
0 days 00:00:59.570000,0.171143,0.993652,-0.175537,-0.205994,-0.564575,-0.686645,1.0234488076704178
0 days 00:00:59.580000,0.706055,0.252686,-0.097412,13.488769,2.63977,129.737854,0.7562096107330295
0 days 00:00:59.590000,0.674805,0.035889,-0.010986,-6.233215,-10.620116,74.684143,0.6758479862676222
0 days 00:00:59.600000,0.625488,0.064941,-0.03418,-3.486633,-11.58142,81.169121,0.6297784086684777
0 days 00:00:59.610000,0.634033,0.108887,-0.050049,-1.655578,-10.612487,89.355461,0.645258960618913
0 days 00:00:59.620000,0.671631,0.146484,-0.057617,-0.25177,-8.789063,98.541252,0.6898300378397566
0 days 00:00:59.630000,0.701172,0.166504,-0.046875,2.090454,-8.407593,105.041496,0.7221932021453816
0 days 00:00:59.640000,0.70166,0.178711,-0.061768,5.073547,-8.766174,110.023491,0.7266908991758463
0 days 00:00:59.650000,0.708496,0.032715,-0.015869,-9.109497,-8.888245,71.182251,0.7094284166862785
0 days 00:00:59.660000,0.701416,0.201904,-0.072266,7.957458,-6.965637,116.119377,0.7334657490489928
0 days 00:00:59.670000,0.703369,0.231201,-0.094727,10.650634,-2.388,123.26049,0.7464281995550544
0 days 00:00:59.680000,0.70459,0.270996,-0.093994,15.754699,6.980896,136.199951,0.7607369927589955
0 days 00:00:59.690000,0.750732,0.418701,-0.11084,22.720335,10.177611,167.366013,0.8667148140103524
0 days 00:00:59.700000,0.721436,0.307373,-0.077393,20.63751,16.891479,149.406433,0.7879960277019167
0 days 00:00:59.710000,0.7146,0.329102,-0.077148,23.147581,17.120361,153.953552,0.7905144529406152
0 days 00:00:59.720000,0.722656,0.376465,-0.090332,23.857115,14.045714,159.767151,0.8198277018892445
0 days 00:00:59.730000,0.80249,0.418701,-0.118164,22.300718,7.545471,170.120224,0.9128326562941315
0 days 00:00:59.740000,0.835205,0.416504,-0.138916,22.476194,8.720398,168.220505,0.9435786289954854
0 days 00:00:59.750000,0.822998,0.438232,-0.173096,21.369932,15.136718,169.960007,0.9483328629990633
0 days 00:00:59.760000,0.791504,0.453613,-0.167725,19.851685,23.513792,175.117477,0.9275640201139757
0 days 00:00:59.770000,0.80249,0.454346,-0.114014,19.645691,30.952452,178.87114,0.9292037882036427
0 days 00:00:59.780000,0.83252,0.459717,-0.037842,21.835325,36.651611,182.128891,0.9517674545039876
0 days 00:00:59.790000,0.702393,0.038818,-0.064453,-11.489867,-8.026123,67.642212,0.7064113198286109
0 days 00:00:59.800000,0.706543,0.287842,-0.086182,18.226624,12.306212,143.432617,0.7677782003528103
