t,ax,ay,az,gx,gy,gz,acc_mag
1.0,0.016357,-1.02832,-0.218506,34.217834,9.605408,0.839233,1.0514059377257672
1.01,0.009766,-1.046143,-0.222656,36.354065,8.262634,-1.419067,1.0696196733143046
1.02,-0.00415,-1.058594,-0.2229,38.68866,6.431579,-4.386902,1.081814627991321
1.03,-0.025635,-1.056396,-0.229736,40.893551,3.456115,-8.483887,1.0813918308074089
1.04,-0.038818,-1.036621,-0.233398,42.785641,-0.869751,-13.09204,1.063280095350703
1.05,-0.052002,-1.008057,-0.224121,44.189449,-6.637573,-18.188477,1.0339793740176833
1.06,-0.059814,-0.980957,-0.207031,44.05212,-14.10675,-23.452757,1.0043486373794708
1.07,-0.066162,-0.962158,-0.19165,42.266842,-23.147581,-28.396605,0.9832879281817711
1.08,-0.068604,-0.950195,-0.203125,38.993835,-33.630371,-32.897949,0.9740825491024875
1.09,-0.062988,-0.977051,-0.231445,32.234192,-46.592709,-35.202026,1.0060630858798072
1.1,-0.039795,-1.01709,-0.237549,23.574827,-60.371395,-33.058167,1.045220186145484
1.11,-0.0271,-0.993896,-0.224609,20.858763,-72.090149,-31.570433,1.0193198083511377
1.12,-0.006592,-0.907959,-0.19165,21.202085,-79.421997,-34.538269,0.9279885358370543
1.13,0.01709,-0.840576,-0.164795,17.166138,-82.069389,-38.513184,0.8567481963219999
1.14,0.033691,-0.817139,-0.167236,9.57489,-81.314079,-40.176388,0.8347569158132204
1.15,0.043945,-0.817139,-0.173828,2.5177,-77.911377,-39.672852,0.8365784374044073
1.16,0.051758,-0.821533,-0.179443,-2.754211,-72.212219,-37.445068,0.8424934129724694
1.17,0.062988,-0.828369,-0.180664,-6.660461,-63.865658,-33.164978,0.8501777280080913
1.18,0.070068,-0.848877,-0.186768,-10.009766,-53.215023,-27.397154,0.871999983702408
1.19,0.064209,-0.897461,-0.197266,-13.313293,-41.465755,-21.14868,0.9211258963670492
1.2,0.054199,-0.968506,-0.19751,-15.464782,-29.58679,-14.923095,0.989925049555268
1.21,0.04541,-1.013672,-0.206299,-13.84735,-18.814087,-9.994507,1.0354478591821994
1.22,0.042725,-1.016357,-0.2146,-8.392334,-9.658813,-5.325317,1.0396442358201194
1.23,0.042236,-1.002441,-0.207031,-2.586365,-2.243042,-0.274658,1.0244675071167457
