t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:00:01.820000,0.165283,0.683594,0.928955,233.80278,-237.289413,-92.071526,1.1651508996477666
0 days 00:00:01.830000,0.160156,0.695557,0.972656,215.255722,-209.449753,-82.221977,1.2064448511726509
0 days 00:00:01.840000,0.227783,0.979248,0.740967,-106.552116,117.462151,41.755672,1.2489370823552322
0 days 00:00:01.850000,0.233643,0.818115,1.016602,160.293579,-153.564453,-59.410091,1.325662412184188
0 days 00:00:01.860000,0.27002,0.896484,1.086426,131.126404,-127.189629,-47.71423,1.4341951806264026
0 days 00:00:01.870000,0.270264,0.945801,1.134521,103.958122,-101.318352,-39.131165,1.501572529296537
0 days 00:00:01.880000,0.26001,0.947754,1.096924,82.916252,-79.521179,-33.599854,1.4727814184026087
0 days 00:00:01.890000,0.168701,0.744873,0.969238,190.002426,-180.145248,-71.517944,1.23398464908361
0 days 00:00:01.900000,0.237061,0.932129,0.983643,46.035763,-45.768734,-23.41461,1.37572378834234
0 days 00:00:01.910000,0.246582,0.937256,0.976074,28.106688,-30.189512,-18.77594,1.3754897112432358
0 days 00:00:01.920000,0.262695,0.958496,0.950195,11.375426,-15.228271,-11.764525,1.374988648340778
0 days 00:00:01.930000,0.279053,0.995361,0.93335,-7.125854,-0.274658,-2.403259,1.3927513488164354
0 days 00:00:01.940000,0.301025,1.011719,0.938721,-24.932859,12.153625,5.477905,1.4125822105021004
0 days 00:00:01.950000,0.302979,0.988281,0.918701,-39.077759,21.713255,10.330199,1.382934248908096
0 days 00:00:01.960000,0.288574,0.949951,0.897217,-49.522396,31.242369,13.137816,1.3381629949172857
0 days 00:00:01.970000,0.266357,0.922607,0.870117,-57.205196,44.441219,15.99121,1.2958600702186174
0 days 00:00:01.980000,0.26123,0.921387,0.844238,-64.285278,62.042233,21.01898,1.2766882616022597
0 days 00:00:01.990000,0.270752,0.951904,0.815186,-75.187683,82.328789,27.938841,1.282168508939445
0 days 00:00:02,0.245605,0.934814,1.011719,65.483093,-62.004086,-28.732298,1.3992049047877155
0 days 00:00:02.010000,0.367432,0.739746,-0.407471,-3.814697,-7.30133,-8.377075,0.9210119624527143
0 days 00:00:02.020000,0.409668,0.72168,-0.388672,-4.043579,7.659912,-12.939452,0.916360090907499
0 days 00:00:02.030000,0.43335,0.702148,-0.365479,-6.805419,20.195005,-17.669678,0.9024294630856198
0 days 00:00:02.040000,0.423096,0.684814,-0.371826,-9.376526,28.762815,-20.103453,0.8866989421940233
0 days 00:00:02.050000,0.501709,0.509766,-0.388428,-29.266356,43.319698,-32.157898,0.813910072809644
0 days 00:00:02.060000,0.392822,0.594971,-0.418945,-10.742187,36.315918,-22.666929,0.8269307876418679
