t,ax,ay,az,gx,gy,gz,acc_mag
0 days 00:00:45.840000,1.492676,-0.710449,0.442871,3.349304,243.736252,-83.839409,1.7114187521521436
0 days 00:00:45.850000,0.256836,-0.820313,0.236084,4.440308,-48.423763,38.269043,0.8914111306916691
0 days 00:00:45.860000,0.558594,-0.937744,0.39209,29.739378,-25.787352,11.184691,1.1597955140765117
0 days 00:00:45.870000,0.344971,-0.872314,0.200439,9.475708,-52.658077,42.137142,0.9592249465886509
0 days 00:00:45.880000,1.273926,-1.238037,0.140381,-249.618515,249.992355,-249.160751,1.7819455356452396
0 days 00:00:45.890000,0.462402,-1.128662,0.100098,20.126341,-76.10321,47.058102,1.2238109042870962
0 days 00:00:45.900000,1.425293,-0.624512,0.637451,-49.301144,248.680099,-87.692253,1.6816120692341618
0 days 00:00:45.910000,1.104736,-0.551025,0.504639,44.044491,-172.393784,-249.992355,1.333690631534165
0 days 00:00:45.920000,1.244873,-0.465088,0.326172,46.218868,-118.911736,-249.992355,1.368358069898738
0 days 00:00:45.930000,1.298096,-0.418945,0.144775,24.29199,-42.106625,-249.992355,1.3716879888903306
0 days 00:00:45.940000,1.250244,-0.44873,0.000488,-15.251159,52.238461,-249.992355,1.3283331323805787
0 days 00:00:45.950000,1.338135,-0.450928,-0.097412,-74.554443,157.478333,-249.992355,1.4154258854327204
0 days 00:00:45.960000,1.476563,-0.477539,-0.062744,-143.989563,238.327011,-249.992355,1.5531318678805095
0 days 00:00:45.970000,1.42041,-0.689453,0.144775,-199.119553,249.992355,-249.992355,1.5855187819556096
0 days 00:00:45.980000,1.365967,-0.962891,0.294189,-221.054062,249.984726,-249.992355,1.6969301961751402
0 days 00:00:45.990000,1.4104,-0.993164,0.289795,-234.199509,249.992355,-249.992355,1.749166668136859
0 days 00:00:46,0.435303,-0.980957,0.144043,17.776489,-62.19482,47.622677,1.08282672829359
0 days 00:00:46.010000,1.394531,-0.953125,0.13623,-248.596176,249.900803,-249.984726,1.6946157642622117
0 days 00:00:46.020000,1.503174,-0.919189,0.044189,-249.656662,249.992355,-249.946579,1.7624962864409106
0 days 00:00:46.030000,0.884766,-1.48999,0.194336,-249.992355,183.998093,-249.992355,1.7437452668758702
0 days 00:00:46.040000,0.558838,-1.765869,0.201416,-239.326462,111.351006,-249.992355,1.8631053755654832
