t,ax,ay,az,gx,gy,gz,acc_mag
1.0,1.01001,-0.482666,0.922119,-120.697014,13.252257,70.304871,1.450306904698795
1.01,1.532715,-0.367188,1.214355,-249.992355,-70.983887,215.301498,1.9896483017342539
1.02,2.011719,0.278564,1.072021,-249.992355,-148.071289,249.992355,2.2964843264211487
1.03,1.518066,1.009033,0.650391,-166.427597,-245.742783,249.763474,1.9353760431311533
1.04,0.421631,0.687744,0.740234,39.321899,-249.992355,249.008163,1.0948565588482355
1.05,0.721924,0.653076,1.047363,189.20134,-248.580917,249.992355,1.4299132062195243
1.06,0.548096,0.643066,1.252686,249.992355,-207.336411,249.992355,1.5110146657686683
1.07,-0.208984,0.535645,1.213867,249.992355,-63.293453,249.977097,1.3431541132610212
1.08,-0.24707,0.278076,0.894287,248.580917,22.262571,249.992355,0.9685654779337327
1.09,0.291504,-0.001465,0.905762,249.992355,30.2124,249.992355,0.9515153855219578
1.1,0.224365,0.008545,0.71582,221.031174,15.724181,249.992355,0.7502072664604096
1.11,0.047119,0.154297,0.252441,113.56353,-67.855835,249.992355,0.29959009137653403
1.12,-0.095947,0.234131,0.260986,69.114685,-181.968674,249.992355,0.3635063192930764
1.13,-0.447021,0.372314,0.571289,59.394833,-249.992355,249.992355,0.815362870480377
1.14,-0.641113,0.596436,1.338867,73.043823,-249.992355,249.992355,1.5997895563335822
1.15,-0.652588,0.371582,1.609131,100.07476,-248.634323,249.992355,1.7757383972953336
1.16,-0.428955,0.416504,1.562012,72.479248,-200.935349,249.992355,1.6725308553760676
1.17,-0.621582,0.739746,1.60083,50.849911,-54.862972,249.992355,1.869824862424286
1.18,-0.622559,0.75415,1.196533,56.02264,43.029781,245.01799,1.545319756901464
1.19,-0.34375,0.66333,1.130859,55.633541,81.603996,190.58989,1.3553644636336752
1.2,-0.594238,0.423584,0.992432,42.678829,109.519951,123.977654,1.231853676507076
1.21,-0.587158,0.409424,0.819092,6.91986,77.713013,79.391479,1.0877932860631196
1.22,-0.545166,0.468994,0.949463,-19.859314,41.305538,32.562256,1.1910673062262267
1.23,-0.640381,0.400391,1.063965,-29.991148,15.884398,-12.008666,1.3047690597446737
1.24,-0.587646,0.342529,1.170166,-35.03418,6.179809,-45.249935,1.3534926688804045
1.25,-0.40918,0.332275,1.322021,-42.030331,28.038023,-70.94574,1.4232267818116688
1.26,-0.281494,0.325684,1.36377,-53.939816,66.337585,-90.339653,1.430097043137982
